System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-1.5546799442738575,-0.7201439282864612,0.7201439282864612
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.5253769347255,-0.11415447683975799,0.11415447683975799
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.873911734182002,-0.7514427858177442,0.7514427858177442
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.8910980354203275,-0.014663888062386832,0.014663888062386832
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.4194404836893,0.26549639737606867,0.26549639737606867
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.4863506989686357,-0.3033944206445085,0.3033944206445085
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-2.0740044802168995,-0.221237608764568,0.221237608764568
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.4984973338089276,0.2817666861571979,0.2817666861571979
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.117677280710268,0.4054657723445416,0.4054657723445416
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.6711158697812607,-1.0375459735600998,1.0375459735600998
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-1.7395544605635678,0.3888286990738834,0.3888286990738834
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.4599536803157207,0.021874025782835815,0.021874025782835815
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.109746989919131,0.47876864938598374,0.47876864938598374
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.425957658850166,0.633807203210381,0.633807203210381
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.571368046442558,0.29679685052246896,0.29679685052246896
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-1.900349987845857,0.22635923494772214,0.22635923494772214
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.5814203137360892,0.003912020305506303,0.003912020305506303
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.0691328987613815,-0.013155554248442058,0.013155554248442058
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.5035345285523363,0.12186816042776627,0.12186816042776627
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.2814349774607763,0.18923762996109872,0.18923762996109872
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-0.8487925708350303,-0.36092432141867903,0.36092432141867903
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.181306484961169,0.5297654831174441,0.5297654831174441
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-0.417482330142775,0.054349259794435056,0.054349259794435056
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.0882351300920163,0.3281364538465823,0.3281364538465823
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-2.195507809722585,0.5818836239932352,0.5818836239932352
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-1.7869737566245476,-1.2978854299319664,1.2978854299319664
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-0.9812329004289495,1.3598432352064265,1.3598432352064265
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.3232410252094269,-0.41784911022705273,-0.09460808501762585,0.09460808501762585
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-2.3341025367976727,0.497010086417049,0.497010086417049
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-0.743707033746432,0.5355612310240758,0.5355612310240758
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.9233978986740112,-2.5439738358936665,-0.6205759372196553,0.6205759372196553
CH3Ir40NO80,IrO2,110,imines,Methanimine,-2.1561923027038574,-2.6685577083644603,-0.5123654056606028,0.5123654056606028
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.4217197895050049,-1.2118092727176872,-0.7900894832126824,0.7900894832126824
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-1.575009680988046,-1.1929083538071836,1.1929083538071836
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.0235742330551147,-1.0724561448153054,-0.04888191176019063,0.04888191176019063
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-2.0178627967834473,-1.0987460578990067,0.9191167388844406,0.9191167388844406
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.5634293556213379,-1.009015693417041,-0.445586337795703,0.445586337795703
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.25239330530166626,-0.5630547364949052,-0.31066143119323897,0.31066143119323897
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.9194198250770569,-0.8275333054079965,0.09188651966906036,0.09188651966906036
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-0.30235400795936584,-0.8096141068203906,-0.5072600988610247,0.5072600988610247
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.34245041012763977,-0.4863506989686357,-0.14390028884099593,0.14390028884099593
CH3NO81Ru40,RuO2,110,amides,Formamide,-1.3570019006729126,-1.0522019544343948,0.3047999462385178,0.3047999462385178
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-1.2037107944488525,-1.0829531835456692,0.12075761090318338,0.12075761090318338
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.5706550835029702,0.14041688457564305,0.14041688457564305
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-1.6991528272628784,-1.1449263037097808,0.5542265235530976,0.5542265235530976
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.409914255142212,-2.543973715381071,-0.13405946023885917,0.13405946023885917
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-2.357088088989258,-2.662010982128777,-0.30492289313951915,0.30492289313951915
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-0.5670529226181316,-0.18495159543726913,0.18495159543726913
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.8651270866394043,-2.3804748194293097,0.4846522672100946,0.4846522672100946
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-0.4940979778766632,-1.022761269670582,-0.5286632917939187,0.5286632917939187
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.42198026180267334,-1.1411111762190558,-0.7191309144163824,0.7191309144163824
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-0.2054898589849472,-1.300687680938097,-1.0951978219531497,1.0951978219531497
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.9988272190093994,-1.5719399690924547,-0.5731127500830553,0.5731127500830553
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-0.6878052353858948,-1.7344476188184217,-1.046642383432527,1.046642383432527
C3H4,None,None,alkanes_alkenes_alkynes,Prop-1-yne,0.0,0.0014174029565765522,0.0014174029565765522,0.0014174029565765522
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.312835156917572,-0.47785203022431233,-0.1650168733067403,0.1650168733067403
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.102449893951416,-1.6308534250986213,0.4715964688527947,0.4715964688527947
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.6320947408676147,-1.3281130561641703,0.30398168470344444,0.30398168470344444
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-0.6961441040039062,-1.0391564358478718,-0.3430123318439655,0.3430123318439655
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.521611452102661,-2.466159455569141,1.0554519965335203,1.0554519965335203
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881102800369263,-1.5181320291928841,0.3699782508440421,0.3699782508440421
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9952746629714966,-1.672328527773061,0.3229461351984355,0.3229461351984355
CH3NO80Ru40,RuO2,110,imines,Methanimine,-0.18569591641426086,-0.5646887065204282,-0.3789927901061674,0.3789927901061674
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.133575439453125,-2.705523862407972,-0.571948422954847,0.571948422954847
CH3Ir40NO80,IrO2,110,imines,Methanimine,-0.5223361849784851,-1.7292596419683832,-1.2069234569898981,1.2069234569898981
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-0.5261513590812683,-1.8755089675692034,-1.349357608487935,1.349357608487935
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.4582784175872803,-2.6792293397174944,-0.22095092213021417,0.22095092213021417
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.6591384410858154,-1.3281130561641703,0.3310253849216451,0.3310253849216451
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.38032767176628113,-0.7276684944672525,-0.34734082270097133,0.34734082270097133
