formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-2.8762684,0.08537078,0.019480115,-2.9144495,-2.8380873,False,4.3824577
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.6351997,-0.49837577,0.49665466,-2.6086428,-0.6617565,True,-1.0034654
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-2.205018,-0.5362613,0.3765366,-2.9430299,-1.4670062,True,-1.4241943
C2H5N,None,None,imines,Ethanimine,0.0,-0.0007824898,0.0007824898,0.0054119853,-0.011389981,0.0098250015,True,0.14458461
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.6497568,-0.4297229,0.40309674,-2.4398265,-0.85968715,True,-1.066054
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.4095657,0.22206897,0.13825952,-0.68055433,-0.13857704,True,1.606175
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.377471,0.54875565,0.8090278,-3.9631655,-0.7917764,True,0.67829025
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.1377604,-0.17157865,1.1942425,-3.4784758,1.202955,True,-0.14367153
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.8351831,-1.3505309,1.0644592,-2.9215233,1.251157,True,-1.2687484
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.2913859,-2.0463395,0.7881153,-2.836092,0.25332022,False,-2.5964975
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.8283903,0.30369145,1.0760319,-2.937413,1.2806323,True,0.28223276
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.38448274,-0.0041133165,0.16307476,-0.7041093,-0.0648562,True,-0.025223501
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.66824377,0.5933551,0.9106992,-2.4532142,1.1167266,True,0.651538
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-1.2532427,0.41376096,0.5237408,-2.2797747,-0.22671068,True,0.79001087
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-0.8585978,0.6006286,1.4307767,-3.6629202,1.9457247,True,0.419792
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.5882714,-0.5192733,0.41232163,-2.396422,-0.78012097,True,-1.2593889
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-1.2939303,0.10610068,0.11534765,-1.5200117,-1.0678489,True,0.91983384
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-1.1476634,0.12787247,0.09979286,-1.3432574,-0.95206934,True,1.2813789
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-2.5835888,0.009054422,0.04263941,-2.6671622,-2.5000155,True,0.21234868
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-0.31056798,0.12086089,0.10075572,-0.5080492,-0.11308676,True,1.1995437
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.3407451,-0.035622597,0.045779563,-1.4304731,-1.2510171,True,-0.77813315
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-2.980365,-0.23550081,0.04438975,-3.067369,-2.893361,False,-5.305297
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-1.4228166,-0.27436578,0.40968534,-2.2258,-0.61983335,True,-0.6696988
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.7935213,0.6792489,0.9468912,-2.649428,1.0623854,True,0.7173464
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-0.6860577,0.55070186,0.09979484,-0.8816556,-0.4904598,False,5.5183396
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-2.0253007,0.242149,0.25507534,-2.5252485,-1.5253531,True,0.9493234
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.4181488,-0.777416,0.3592672,0.8983713,-2.5382237,0.98339176,True,0.3999095
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9872928,-1.5830688,-0.40422392,0.41139856,-2.38941,-0.7767277,True,-0.98256034
C2H2,None,None,alkanes_alkenes_alkynes,Acetylene,0.0,0.0023005009,-0.0023005009,0.004178407,-0.0058891773,0.010490179,True,-0.5505689
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-0.830059,0.56466925,0.9946782,-2.7796283,1.1195104,True,0.5676904
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.79394776,-0.59791803,-0.19602972,0.2303462,-1.0493966,-0.14643946,True,-0.8510222
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.166147,-1.7831733,1.6170263,0.045418862,-1.8721943,-1.6941524,False,35.602528
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.9669564,-2.980365,0.013408661,0.044389743,-3.067369,-2.893361,True,0.30206665
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-3.4020224,-3.081697,-0.32032537,0.045367744,-3.1706178,-2.9927762,False,-7.0606413
