formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-2.8532887,0.062391043,0.04196446,-2.935539,-2.7710383,True,1.4867591
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.4094775,-0.72409797,0.9627547,-3.2964768,0.47752178,True,-0.75211054
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-1.765909,-0.9753704,1.2058672,-4.129409,0.5975907,True,-0.8088539
C2H5N,None,None,imines,Ethanimine,0.0,-0.0009330511,0.0009330511,0.004905016,-0.010546883,0.00868078,True,0.19022386
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.3376017,-0.74187803,0.553832,-2.4231124,-0.25209093,True,-1.3395362
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.47346157,0.28596485,0.12362724,-0.71577096,-0.23115218,False,2.3131218
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.659789,0.83107376,0.73317003,-4.096802,-1.2227758,True,1.1335348
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.6683328,0.35899377,0.38990304,-2.4325428,-0.9041228,True,0.92072576
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.79968,-1.386034,1.0388728,-2.8358707,1.2365108,True,-1.334171
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.0096949,-2.3280306,1.2739422,-3.5066218,1.4872319,True,-1.8274224
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.7936685,0.26896966,0.8999054,-2.5574832,0.97014606,True,0.2988866
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.4577909,0.06919485,0.20142184,-0.8525777,-0.06300411,True,0.34353203
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.70785105,0.6329624,0.73583996,-2.1500974,0.73439527,True,0.86019033
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-1.0789379,0.23945612,0.3687131,-1.8016156,-0.35626018,True,0.6494375
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-0.9144925,0.6565232,1.3985059,-3.6555643,1.8265792,True,0.46944615
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.8798673,-0.22767735,0.48696405,-2.8343167,-0.9254178,True,-0.46754447
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-1.3049315,0.11710191,0.126763,-1.553387,-1.056476,True,0.92378616
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-1.0835197,0.06372881,0.1137328,-1.306436,-0.8606034,True,0.560338
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-2.589847,0.015312672,0.028358316,-2.6454294,-2.5342648,True,0.5399711
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-0.3308953,0.14118822,0.14348806,-0.61213195,-0.049658686,True,0.9839719
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.342915,-0.03345263,0.063390106,-1.4671596,-1.2186705,True,-0.52772635
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-2.9991608,-0.21670508,0.14737509,-3.2880158,-2.7103057,True,-1.4704322
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-1.2157874,-0.481395,0.33578336,-1.8739228,-0.557652,True,-1.4336476
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.5569108,0.44263846,0.47851697,-1.4948041,0.38098246,True,0.92502147
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-0.48274654,0.3473907,0.14112256,-0.7593468,-0.2061463,False,2.4616241
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-1.8197808,0.03662908,0.38552117,-2.5754023,-1.0641594,True,0.09501185
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.4181488,-0.6107585,0.1926097,0.59123504,-1.7695792,0.54806226,True,0.32577518
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9872928,-1.8802135,-0.10707927,0.48653954,-2.833831,-0.926596,True,-0.22008339
C2H2,None,None,alkanes_alkenes_alkynes,Acetylene,0.0,-0.0020588636,0.0020588636,0.0050141946,-0.011886685,0.007768958,True,0.41060704
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-0.7895984,0.52420866,0.9736892,-2.6980293,1.1188323,True,0.5383737
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.79394776,-0.68268275,-0.111265,0.14104508,-0.9591311,-0.40623438,True,-0.7888613
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.166147,-1.7981653,1.6320183,0.050563313,-1.8972694,-1.6990613,False,32.27673
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.9669564,-2.9991605,0.03220415,0.14737512,-3.2880158,-2.7103052,True,0.21851823
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-3.4020224,-3.1302977,-0.2717247,0.12590271,-3.377067,-2.8835282,False,-2.1582117
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.32321647,-0.2885071,-0.034709364,0.09076237,-0.46640134,-0.110612854,True,-0.3824202
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881103,-1.9092252,0.021114945,0.3311131,-2.558207,-1.2602435,True,0.06376959
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.5272654,-2.8952348,2.3679695,0.10910305,-3.1090767,-2.681393,False,21.703972
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,-2.6867654,-2.2620525,-0.4247129,0.41714585,-3.0796585,-1.4444467,True,-1.0181401
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246895,-0.67967594,0.557207,0.45629668,-1.5740175,0.21466559,True,1.2211506
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-0.19747382,-0.5143264,0.31685257,0.31519613,-1.1321108,0.10345805,True,1.0052552
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-2.4104888,-0.7936685,-1.6168203,0.8999054,-2.5574832,0.97014606,True,-1.7966559
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.2023008,-1.2234561,0.021155357,0.021452256,-1.2655026,-1.1814097,True,0.98616004
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.47293362,-0.4001857,-0.072747916,0.09462698,-0.5856546,-0.21471682,True,-0.7687862
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7329444,-0.7695101,0.03656566,0.619307,-1.9833517,0.4443316,True,0.05904287
