formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-3.028194,0.23729634,0.15969768,-3.3412013,-2.7151866,True,1.4859097
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.6278124,-0.50576305,0.9566548,-3.5028558,0.247231,True,-0.5286788
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-2.0001335,-0.74114585,0.92322516,-3.8096547,-0.1906122,True,-0.8027791
C2H5N,None,None,imines,Ethanimine,0.0,0.00033009052,-0.00033009052,0.0053645438,-0.010184416,0.010844597,True,-0.06153189
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.3074466,-0.7720331,0.5039357,-2.2951605,-0.3197326,True,-1.5320072
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.6225251,0.43502837,0.21906711,-1.0518966,-0.19315356,False,1.9858224
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.8437402,1.0150249,0.51109195,-3.8454804,-1.842,False,1.9859928
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.3274885,0.018149495,1.2387245,-3.7553887,1.1004115,True,0.014651761
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.9570774,-1.2286366,0.825292,-2.5746498,0.6604949,True,-1.4887296
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.6292975,-1.7084279,0.84379685,-3.2831392,0.024544358,False,-2.024691
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.6977057,0.17300683,0.81959194,-2.304106,0.90869457,True,0.21108899
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.55071145,0.1621154,0.2601579,-1.060621,-0.040801942,True,0.6231423
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.76590884,0.6910202,0.8183203,-2.3698168,0.837999,True,0.84443736
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-1.0875008,0.24801904,0.5358604,-2.1377873,-0.0372144,True,0.4628426
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-0.8440178,0.5860486,0.9899359,-2.7842922,1.0962565,True,0.5920066
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.7201834,-0.3873613,0.3230209,-2.3533044,-1.0870624,True,-1.1991833
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-1.338397,0.15056741,0.12417191,-1.581774,-1.09502,True,1.2125722
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-0.96050656,-0.05928433,0.23996918,-1.4308462,-0.49016696,True,-0.24704976
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-2.600318,0.025783539,0.09982367,-2.7959723,-2.4046636,True,0.25829083
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-0.4491176,0.2594105,0.3510943,-1.1372625,0.23902726,True,0.73886275
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.3461996,-0.030168056,0.09886378,-1.5399727,-1.1524266,True,-0.3051477
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-2.9730098,-0.24285603,0.19538559,-3.3559656,-2.590054,True,-1.2429577
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-1.401327,-0.2958554,0.3923677,-2.1703677,-0.6322863,True,-0.7540259
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.56243056,0.4481582,0.70899135,-1.9520535,0.8271925,True,0.6321067
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-0.4854471,0.35009128,0.21781157,-0.9123578,-0.05853641,True,1.6073126
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-1.7707162,-0.012435555,0.43328843,-2.6199615,-0.9214709,True,-0.02870041
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.4181488,-0.58093727,0.16278848,0.5339759,-1.6275301,0.46565557,True,0.3048611
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9872928,-1.7194605,-0.26783228,0.32105508,-2.3487284,-1.0901926,True,-0.8342253
C2H2,None,None,alkanes_alkenes_alkynes,Acetylene,0.0,0.0010180473,-0.0010180473,0.004766335,-0.008323969,0.010360064,True,-0.21359123
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-0.8991364,0.6337466,0.7178814,-2.3061838,0.5079111,True,0.8828013
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.79394776,-0.6759422,-0.118005574,0.22044285,-1.1080102,-0.24387419,True,-0.5353114
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.166147,-1.7923744,1.6262274,0.07848769,-1.9462103,-1.6385385,False,20.719522
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.9669564,-2.9730098,0.0060534477,0.19538559,-3.3559656,-2.590054,True,0.030982058
