formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-2.9072957,0.116398096,0.068204224,-3.040976,-2.7736154,True,1.7066113
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.3515357,-0.78203976,0.95409715,-3.2215662,0.5184947,True,-0.8196647
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-2.0918806,-0.6493988,0.91055423,-3.876567,-0.30719423,True,-0.7131907
C2H5N,None,None,imines,Ethanimine,0.0,0.0059369802,-0.0059369802,0.011058664,-0.015738001,0.027611962,True,-0.5368624
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.1674643,-0.91201544,0.9078492,-2.9468489,0.61192024,True,-1.0045891
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.4850092,0.29751247,0.13284054,-0.7453767,-0.22464171,False,2.239621
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.504139,0.6754236,0.572162,-3.6255765,-1.3827015,True,1.1804763
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.8472812,0.5379422,0.23018809,-2.29845,-1.3961126,False,2.336968
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.944908,-1.240806,0.9420225,-2.7912722,0.9014561,True,-1.3171723
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.4636117,-1.8741137,1.2917417,-3.9954257,1.0682021,True,-1.4508424
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.7775302,0.25283134,0.73176694,-2.2117934,0.65673304,True,0.345508
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.5056457,0.117049634,0.251898,-0.9993658,-0.011925608,True,0.46467078
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.8361004,0.76121175,0.8617864,-2.5252018,0.85300106,True,0.8832951
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-1.1288767,0.28939492,0.43409854,-1.9797099,-0.2780435,True,0.6666572
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-1.0808294,0.8228601,1.4397129,-3.9026666,1.7410078,True,0.5715446
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.6590906,-0.44845402,0.4143234,-2.4711645,-0.84701675,True,-1.0823768
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-1.3082964,0.12046683,0.11943517,-1.5423894,-1.0742035,True,1.0086378
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-0.97331035,-0.046480536,0.22269288,-1.4097884,-0.53683233,True,-0.20872036
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-2.5776303,0.0030958652,0.10510818,-2.7836423,-2.3716183,True,0.029454086
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-0.37119246,0.18148537,0.19726823,-0.7578382,0.015453279,True,0.91999286
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.4148605,0.0384928,0.115063086,-1.6403842,-1.1893368,True,0.33453646
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-2.9710336,-0.24483228,0.12737115,-3.220681,-2.7213862,True,-1.9221958
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-0.8685974,-0.828585,0.6903864,-2.2217548,0.48456,True,-1.2001758
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.6073492,0.49307686,0.4218979,-1.4342691,0.21957064,True,1.1687114
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-0.49505877,0.35970294,0.1739419,-0.8359849,-0.15413266,False,2.0679488
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-1.8196986,0.036546826,0.28097263,-2.370405,-1.2689922,True,0.13007255
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.4181488,-0.56771564,0.14956686,0.36104834,-1.2753704,0.13993913,True,0.41425717
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9872928,-1.6576545,-0.32963824,0.41387054,-2.4688408,-0.84646827,True,-0.7964767
C2H2,None,None,alkanes_alkenes_alkynes,Acetylene,0.0,-0.016268134,0.016268134,0.013527468,-0.04278197,0.010245703,True,1.2026001
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-0.9780646,0.71267486,0.9023748,-2.7467194,0.7905901,True,0.789777
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.79394776,-0.7272926,-0.06665516,0.17316298,-1.0666921,-0.38789314,True,-0.3849273
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.166147,-1.8215648,1.6554178,0.073545545,-1.9657141,-1.6774155,False,22.508743
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.9669564,-2.9710336,0.004077196,0.12737115,-3.220681,-2.7213862,True,0.032010358
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-3.4020224,-3.0124006,-0.38962173,0.09464281,-3.1979005,-2.8269007,False,-4.11676
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.32321647,-0.3436315,0.020415038,0.07140814,-0.48359144,-0.20367156,True,0.2858923
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881103,-1.9176323,0.029522061,0.29233584,-2.4906106,-1.3446541,True,0.1009868
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.5272654,-2.9467616,2.419496,0.09372415,-3.130461,-2.7630622,False,25.815077
