System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-0.7771901327560045,0.05734588323139178,0.05734588323139178
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.620027045148163,-0.20880458726242068,0.20880458726242068
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.635107349374266,-0.5126384010100082,0.5126384010100082
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.9029368915166742,-0.02650274415873355,0.02650274415873355
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.7855496291558666,-0.10061274809049792,0.10061274809049792
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.4469359700105997,-0.2639796916864725,0.2639796916864725
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-2.0273342301929915,-0.17456735874065998,0.17456735874065998
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.4347830777937816,0.34548094217234393,0.34548094217234393
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.51194074443265,0.011202308622159762,0.011202308622159762
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.0389168568081004,-0.40534696058693953,0.40534696058693953
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-1.9777341984608938,0.15064896117655735,0.15064896117655735
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.5006990490965109,-0.018871342997954343,0.018871342997954343
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.5994041569063029,-0.010888517601188141,0.010888517601188141
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.7978551899814192,0.26190967207912763,0.26190967207912763
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-2.0077371949951157,-0.13957229803008886,0.13957229803008886
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.125537353211257,0.0011718695823219605,0.0011718695823219605
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.6870453857145549,-0.10171305167295941,0.10171305167295941
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.2120016652906997,-0.1560243207777603,0.1560243207777603
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.581555829003264,0.04384685997683846,0.04384685997683846
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.84317949508295,-0.37250688766107487,0.37250688766107487
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-0.8492505186977723,-0.36138226928142103,0.36138226928142103
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.2997052894952503,0.41136667858336295,0.41136667858336295
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-0.3543078199145384,0.11752377002267167,0.11752377002267167
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.2406028199079628,0.1757687640306358,0.1757687640306358
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-2.760422049630506,0.016969384085314232,0.016969384085314232
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-0.981492906353651,-0.4924045796610699,0.4924045796610699
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-0.914259049859993,1.426817085775383,1.426817085775383
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.3232410252094269,-0.34582505883281556,-0.022584033623388677,0.022584033623388677
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-2.7739165680195583,0.05719605519516335,0.05719605519516335
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-0.6010284963490449,0.6782397684214629,0.6782397684214629
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.9233978986740112,-2.4311910388205433,-0.5077931401465321,0.5077931401465321
CH3Ir40NO80,IrO2,110,imines,Methanimine,-2.1561923027038574,-2.618617770856872,-0.46242546815301466,0.46242546815301466
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.4217197895050049,-1.1649505711226311,-0.7432307816176262,0.7432307816176262
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-1.7601378913552708,-1.3780365641744083,1.3780365641744083
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.0235742330551147,-1.0315979762451661,-0.008023743190051391,0.008023743190051391
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-2.0178627967834473,-0.7987062707802579,1.2191565260031894,1.2191565260031894
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.5634293556213379,-0.6938259063854275,-0.13039655076408962,0.13039655076408962
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.25239330530166626,-0.4940016218602068,-0.24160831655854054,0.24160831655854054
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.9194198250770569,-0.8591493027761317,0.06027052230092522,0.06027052230092522
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-0.30235400795936584,-0.6651289048481885,-0.3627748968888227,0.3627748968888227
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.34245041012763977,-0.4469359700105997,-0.10448555988295993,0.10448555988295993
CH3NO81Ru40,RuO2,110,amides,Formamide,-1.3570019006729126,-1.481458886461155,-0.12445698578824249,0.12445698578824249
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-1.2037107944488525,-1.3352711277325398,-0.13156033328368721,0.13156033328368721
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.7902289119156194,-0.07915694383700611,0.07915694383700611
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-1.6991528272628784,-1.7022170975978952,-0.003064270335016772,0.003064270335016772
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.409914255142212,-2.4311910388205433,-0.021276783678331412,0.021276783678331412
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-2.357088088989258,-2.4222952810741845,-0.06520719208492665,0.06520719208492665
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-0.5278683727174212,-0.14576704553655873,0.14576704553655873
