formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-3.1548724,0.3639748,0.2068703,-3.5603383,-2.7494066,True,1.7594348
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.5838369,-0.5497385,0.5119025,-2.5871658,-0.580508,True,-1.0739125
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-2.4880342,-0.25324512,0.34839788,-3.1708941,-1.8051744,True,-0.7268848
C2H5N,None,None,imines,Ethanimine,0.0,0.0001784563,-0.0001784563,0.006111116,-0.011799332,0.012156244,True,-0.029201917
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.0571527,-1.022327,0.84966534,-2.722497,0.6081914,True,-1.2032113
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.3591019,0.17160517,0.13001825,-0.6139377,-0.10426611,True,1.3198545
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.7610655,0.93235016,0.37785167,-3.5016546,-2.0204763,False,2.467503
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.9107087,0.6013696,0.31794268,-2.5338764,-1.287541,True,1.8914404
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.9122095,-1.2735045,0.7763195,-2.433796,0.6093768,True,-1.6404387
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-2.2063675,-1.1313579,0.21833438,-2.6343029,-1.7784321,False,-5.181767
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.8126372,0.28793836,0.9279165,-2.6313536,1.0060792,True,0.3103063
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.5257327,0.13713664,0.15806647,-0.835543,-0.21592242,True,0.86758846
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.8269164,0.75202775,1.0551668,-2.8950436,1.2412107,True,0.7127098
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-1.0086277,0.16914588,0.6843276,-2.3499098,0.33265448,True,0.24717093
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-1.0282872,0.7703179,1.3691349,-3.7117915,1.6552172,True,0.56263113
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.8223716,-0.28517306,0.39744022,-2.6013546,-1.0433887,True,-0.7175244
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-1.2623029,0.07447326,0.101832554,-1.4618948,-1.062711,True,0.7313306
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-1.1331599,0.11336899,0.07602262,-1.2821642,-0.98415554,True,1.4912534
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-2.543238,-0.03129649,0.22186027,-2.978084,-2.1083918,True,-0.14106397
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-0.31182635,0.12211926,0.0811568,-0.47089368,-0.15275902,True,1.5047324
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.3803178,0.003950119,0.075174205,-1.5276593,-1.2329763,True,0.052546203
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-2.9354296,-0.28043628,0.29465136,-3.5129461,-2.357913,True,-0.95175624
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-1.2655644,-0.43161798,0.4057982,-2.0609288,-0.47019994,True,-1.0636271
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.64069104,0.5264187,0.53652596,-1.692282,0.41089988,True,0.9811616
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-0.48402584,0.34867,0.24838032,-0.9708513,0.0027996004,True,1.4037747
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-1.6773851,-0.105766654,0.08060565,-1.8353722,-1.519398,True,-1.3121494
