System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-1.130460152519845,-0.29592413653244876,0.29592413653244876
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.716323719162574,-0.3051012612768318,0.3051012612768318
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.79523936443411,-0.6727704160698522,0.6727704160698522
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.7479298553475928,0.12850429201034785,0.12850429201034785
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.798419952556742,-0.11348307149137327,0.11348307149137327
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.4262730611621919,-0.24331678283806468,0.24331678283806468
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-2.0106485382762003,-0.15788166682386873,0.15788166682386873
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.4384249910246467,0.3418390289414788,0.3418390289414788
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.4228486749125295,0.10029437814228004,0.10029437814228004
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.088862277638782,-0.4552923814176211,0.4552923814176211
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-1.8798155454242078,0.24856761421324336,0.24856761421324336
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.48549451723420134,-0.0036668111356448208,0.0036668111356448208
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.6291636728054755,-0.040648033500360725,0.040648033500360725
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.8553018570601125,0.20446300500043435,0.20446300500043435
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-2.0134353920461763,-0.14527049508114942,0.14527049508114942
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.0820586985091722,0.044650524284406856,0.044650524284406856
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.7231531285406163,-0.13782079449902085,0.13782079449902085
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.1817579448470497,-0.1257806003341102,0.1257806003341102
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.6253621574524004,4.0531527702114545e-05,4.0531527702114545e-05
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.516201346732487,-0.045528739310611854,0.045528739310611854
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-0.7958154146404013,-0.30794716522404997,0.30794716522404997
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.684478506837877,0.02659346124073636,0.02659346124073636
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-0.4048730370236626,0.06695855291354746,0.06695855291354746
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.35011489007627,0.06625669386232858,0.06625669386232858
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-2.81093393991614,-0.03354250620031962,0.03354250620031962
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-1.1790643736115953,-0.6899760469190142,0.6899760469190142
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-0.8028178592558106,1.5382582763795654,1.5382582763795654
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.3232410252094269,-0.3942450914864821,-0.07100406627705524,0.07100406627705524
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-2.773903311634058,0.05720931158066378,0.05720931158066378
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-0.7711872196073273,0.5080810451631805,0.5080810451631805
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.9233978986740112,-2.4687101046520183,-0.5453122059780071,0.5453122059780071
CH3Ir40NO80,IrO2,110,imines,Methanimine,-2.1561923027038574,-2.635981105097926,-0.4797888023940686,0.4797888023940686
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.4217197895050049,-0.7908566828750736,-0.3691368933700687,0.3691368933700687
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-1.689365634418209,-1.3072643072373467,1.3072643072373467
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.0235742330551147,-0.9277798399948551,0.09579439306025961,0.09579439306025961
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-2.0178627967834473,-0.9641550605265365,1.0537077362569107,1.0537077362569107
