formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-2.9649854,0.17408776,0.056101155,-3.0749435,-2.8550272,False,3.1031048
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.5895865,-0.54398894,0.84054834,-3.2370613,0.05788827,True,-0.6471834
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-2.1036768,-0.63760257,0.962729,-3.9906256,-0.21672797,True,-0.6622867
C2H5N,None,None,imines,Ethanimine,0.0,0.00076293945,-0.00076293945,0.005625766,-0.010263561,0.01178944,True,-0.13561521
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.4441677,-0.63531196,0.39088517,-2.2103028,-0.67803276,True,-1.6253161
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.46716595,0.27966923,0.17007416,-0.80051136,-0.13382056,True,1.6443957
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.525235,0.6965196,0.6151764,-3.7309806,-1.3194892,True,1.1322275
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.5763828,0.2670437,0.87501746,-3.2914171,0.13865149,True,0.30518672
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.968735,-1.216979,0.85848093,-2.6513577,0.7138877,True,-1.4175959
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.6711242,-1.6666012,1.188869,-4.0013075,0.65905905,True,-1.4018376
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.83254373,0.30784488,0.7092662,-2.2227054,0.557618,True,0.43403292
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.47760338,0.08900732,0.16432066,-0.7996719,-0.15553486,True,0.5416685
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.7647474,0.68985873,0.7565511,-2.2475877,0.7180928,True,0.9118469
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-1.1146858,0.275204,0.33028817,-1.7620506,-0.46732092,True,0.83322394
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-0.7532091,0.49523988,1.0120156,-2.7367597,1.2303414,True,0.48935995
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.8682078,-0.23933685,0.47180212,-2.79294,-0.94347566,True,-0.50728226
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-1.3589891,0.1711595,0.103754655,-1.5623482,-1.15563,True,1.6496562
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-1.0337584,0.013967514,0.14732435,-1.3225142,-0.7450026,True,0.09480791
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-2.6017237,0.027189255,0.04355777,-2.6870968,-2.5163505,True,0.6242114
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-0.32159495,0.13188787,0.22262831,-0.7579465,0.114756554,True,0.5924128
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.380216,0.0038483143,0.100762196,-1.5777099,-1.1827221,True,0.038192045
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-2.860876,-0.35498977,0.26946637,-3.3890302,-2.332722,True,-1.3173805
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-1.162232,-0.5349504,0.28685176,-1.7244616,-0.6000026,True,-1.8649018
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.6300028,0.51573044,0.6359611,-1.8764865,0.616481,True,0.8109465
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-0.47920537,0.34384954,0.23716708,-0.9440528,-0.014357895,True,1.4498199
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-1.809993,0.026841283,0.2868402,-2.3721998,-1.2477863,True,0.09357574
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.4181488,-0.5996377,0.1814889,0.4505324,-1.4826813,0.28340584,True,0.40283206
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9872928,-1.8670764,-0.12021637,0.4705019,-2.7892601,-0.94489264,True,-0.25550666
C2H2,None,None,alkanes_alkenes_alkynes,Acetylene,0.0,-0.0014845133,0.0014845133,0.009901012,-0.020890499,0.017921472,True,0.1499355
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-1.0607356,0.7953458,1.0512767,-3.1212378,0.9997667,True,0.7565523
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.79394776,-0.6726163,-0.12133145,0.16728736,-1.0004995,-0.34473306,True,-0.7252876
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.166147,-1.783466,1.617319,0.048364613,-1.8782606,-1.6886714,False,33.440132
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.9669564,-2.860876,-0.10608029,0.2694664,-3.3890302,-2.332722,True,-0.39366797
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-3.4020224,-2.8701777,-0.5318446,0.069288604,-3.0059834,-2.7343721,False,-7.675788
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.32321647,-0.32587886,0.0026623905,0.118016005,-0.55719024,-0.09456748,True,0.022559572
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881103,-1.9056664,0.017556071,0.4289919,-2.7464905,-1.0648422,True,0.040924013
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.5272654,-2.9139192,2.386654,0.10969001,-3.1289117,-2.6989267,False,21.75817
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,-2.6867654,-2.1214902,-0.5652752,0.19019413,-2.4942708,-1.7487097,False,-2.972096
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246895,-0.5309319,0.40846294,0.38400048,-1.2835729,0.22170907,True,1.0637043
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-0.19747382,-0.47536653,0.2778927,0.42364833,-1.3057172,0.35498422,True,0.6559514
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-2.4104888,-0.83254373,-1.5779451,0.7092662,-2.2227054,0.557618,False,-2.2247572
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.2023008,-1.2183125,0.016011715,0.0242347,-1.2658125,-1.1708125,True,0.66069376
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.47293362,-0.40677005,-0.06616357,0.19306977,-0.78518677,-0.028353304,True,-0.34269252
