System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-0.9163619343944447,-0.08182591840704845,0.08182591840704845
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.6119805396619995,-0.2007580817762573,0.2007580817762573
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.6107283743886001,-0.48825942602434225,0.48825942602434225
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.850826702933773,0.025607444424167625,0.025607444424167625
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.7942978192290866,-0.10936093816371795,0.10936093816371795
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.43271741194803326,-0.24976113362390606,0.24976113362390606
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-1.9357006102909509,-0.08293373883861932,0.08293373883861932
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.5718022533239946,0.2084617666421309,0.2084617666421309
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.4967673650762663,0.026375687978543283,0.026375687978543283
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.1170405327088702,-0.48347063648770927,0.48347063648770927
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-2.014025783251327,0.11435737638612409,0.11435737638612409
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.4192711588534621,0.06255654724509441,0.06255654724509441
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.5973607453377099,-0.00884510603259514,0.00884510603259514
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.796049911301452,0.2637149507590948,0.2637149507590948
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.9065292410498387,-0.03836434408481182,0.03836434408481182
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.0684523444315346,0.05825687836204452,0.05825687836204452
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.6531689335934061,-0.06783659955181065,0.06783659955181065
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.1933969308038286,-0.13741958629088913,0.13741958629088913
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.6549839123908896,-0.02958122341078706,0.02958122341078706
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.7609216948512767,-0.2902490874294017,0.2902490874294017
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-0.923811209585665,-0.43594296016931366,0.43594296016931366
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.3907773809587525,0.3202945871198608,0.3202945871198608
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-0.296812224722089,0.17501936521512107,0.17501936521512107
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.3914763945654158,0.024895189373182802,0.024895189373182802
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-2.6548306006661733,0.12256083304964704,0.12256083304964704
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-1.0711161050101055,-0.5820277783175243,0.5820277783175243
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-0.9088153754105406,1.4322607602248354,1.4322607602248354
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.3232410252094269,-0.3730904309923062,-0.04984940578287933,0.04984940578287933
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-2.7635192233337875,0.06759339988093416,0.06759339988093416
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-0.6419956083054785,0.6372726564650293,0.6372726564650293
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.9233978986740112,-2.3080942917777065,-0.3846963931036953,0.3846963931036953
CH3Ir40NO80,IrO2,110,imines,Methanimine,-2.1561923027038574,-2.6080143496328674,-0.45182204692900996,0.45182204692900996
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.4217197895050049,-0.8834959201299171,-0.4617761306249122,0.4617761306249122
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-1.80785307596625,-1.4257517487853875,1.4257517487853875
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.0235742330551147,-0.9573815898424982,0.06619264321261653,0.06619264321261653
