System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-1.356298752887028,-0.5217627368996318,0.5217627368996318
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.646475462423041,-0.2352530045372987,0.2352530045372987
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.6707784750669816,-0.5483095267027238,0.5483095267027238
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.6833397439168039,0.19309440344113682,0.19309440344113682
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.693373461549072,-0.008436580483703437,0.008436580483703437
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.4593075520351704,-0.2763512737110432,0.2763512737110432
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-2.027211307345624,-0.1744444358932924,0.1744444358932924
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.4406233253007201,0.33964069466540536,0.33964069466540536
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.191283963764363,0.3318590892904467,0.3318590892904467
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.385068513903775,-0.7514986176826142,0.7514986176826142
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-1.7736806147825064,0.3547025448549448,0.3547025448549448
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.4333699273961429,0.048457778702413634,0.048457778702413634
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.2713154247323928,0.31720021457272196,0.31720021457272196
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.64631228836879,0.4134525736917567,0.4134525736917567
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.709325111246926,0.15883978571810076,0.15883978571810076
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.0159224104786517,0.11078681231492737,0.11078681231492737
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.44932585529113567,0.1360064787504598,0.1360064787504598
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-2.8954568948920496,0.16052044962088985,0.16052044962088985
