formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-1.7122076,-1.07869,1.096906,-3.8621433,0.43772817,True,-0.9833934
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.8270099,-0.30656552,1.0630755,-3.910638,0.25661826,True,-0.28837603
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-1.6291113,-1.1121681,1.1371248,-3.8578758,0.59965324,True,-0.9780528
C2H5N,None,None,imines,Ethanimine,0.0,-0.948173,0.948173,0.87123483,-2.6557932,0.7594473,True,1.0883093
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.7707808,-0.3086989,1.060422,-3.8492079,0.30764627,True,-0.2911095
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-1.0494015,0.8619048,0.7020737,-2.425466,0.3266629,True,1.2276558
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-1.9530337,0.12431836,1.0154989,-3.9434114,0.037344098,True,0.122420974
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.7695882,0.4602492,1.0623044,-3.8517048,0.31252837,True,0.43325546
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-1.6216626,-0.5640514,1.1519781,-3.8795397,0.6362145,True,-0.48963723
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.9535584,-1.384167,0.98765594,-3.8893642,-0.017752767,True,-1.4014667
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-1.5688196,1.0441208,1.1426634,-3.8084397,0.67080057,True,0.9137606
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.9489763,0.5603802,0.7638919,-2.4462044,0.54825187,True,0.7335858
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-1.2613621,1.1864734,0.63802487,-2.511891,-0.010833263,True,1.8596036
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-1.7634588,0.9239771,1.0619859,-3.8449512,0.31803358,True,0.8700465
