formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-2.9351797,0.1442821,0.082086466,-3.096069,-2.7742903,True,1.7576845
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.3398436,-0.7937318,0.7527247,-2.815184,0.13549685,True,-1.0544782
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-1.9524114,-0.78886795,1.0364841,-3.9839203,0.07909751,True,-0.7610999
C2H5N,None,None,imines,Ethanimine,0.0,0.007644534,-0.007644534,0.0063620904,-0.0048251636,0.020114232,True,-1.2015759
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.2458043,-0.8336754,0.4491995,-2.1262355,-0.36537325,True,-1.8559134
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.5235411,0.33604437,0.21100707,-0.93711495,-0.10996723,True,1.592574
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.4371881,0.6084728,0.686445,-3.7826204,-1.091756,True,0.8864116
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.6678804,0.35854137,0.20097542,-2.0617924,-1.2739686,True,1.7840061
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-1.0413764,-1.1443377,1.1433213,-3.2822862,1.1995335,True,-1.000889
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.2442597,-2.0934658,1.3422129,-3.8749971,1.3864776,True,-1.5597122
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.7608215,0.23612267,0.88969934,-2.5046322,0.98298925,True,0.26539603
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.48279083,0.09419477,0.13991885,-0.7570318,-0.20854989,True,0.67321
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.7927294,0.71784073,0.7802661,-2.322051,0.7365922,True,0.9199948
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-0.9701761,0.13069433,0.21099186,-1.3837202,-0.55663204,True,0.6194283
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-0.7670249,0.5090556,1.1459683,-3.013123,1.4790732,True,0.44421437
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.7302934,-0.37725127,0.4330907,-2.5791512,-0.88143563,True,-0.8710676
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-1.3492914,0.16146183,0.13817225,-1.6201091,-1.0784738,True,1.1685547
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-0.94952387,-0.07026702,0.20191564,-1.3452785,-0.55376923,True,-0.3480019
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-2.5812905,0.0067560673,0.030948097,-2.6419487,-2.5206323,True,0.21830316
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-0.29838538,0.108678296,0.14481874,-0.5822301,-0.0145406425,True,0.7504436
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.3558886,-0.020479083,0.09203867,-1.5362844,-1.1754928,True,-0.22250521
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-3.0214548,-0.19441104,0.16999234,-3.3546398,-2.6882699,True,-1.1436459
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-1.2147328,-0.48244965,0.26475915,-1.7336607,-0.69580483,True,-1.8222208
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.6255639,0.51129156,0.47953677,-1.565456,0.3143282,True,1.0662197
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-0.5269214,0.39156556,0.25187647,-1.0205992,-0.033243507,True,1.5545937
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-1.7045896,-0.07856214,0.37250832,-2.434706,-0.9744733,True,-0.21090037
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.4181488,-0.6692131,0.25106433,0.5231229,-1.6945341,0.35610777,True,0.47993374
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9872928,-1.7299562,-0.25733662,0.43222067,-2.5771086,-0.8828036,True,-0.5953825
C2H2,None,None,alkanes_alkenes_alkynes,Acetylene,0.0,-0.00040102005,0.00040102005,0.0074627637,-0.015028037,0.014225997,True,0.05373613
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-0.7668097,0.5014199,1.0950052,-2.91302,1.3794005,True,0.45791557
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.79394776,-0.79846966,0.0045219064,0.21128257,-1.2125835,-0.3843558,True,0.021402175
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.166147,-1.7853111,1.6191641,0.046196174,-1.8758556,-1.6947666,False,35.049744
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.9669564,-3.0214548,0.054498434,0.16999234,-3.3546398,-2.6882699,True,0.32059348
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-3.4020224,-3.1693687,-0.23265362,0.11336388,-3.391562,-2.9471755,False,-2.052273
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.32321647,-0.35781813,0.03460166,0.09001231,-0.5342423,-0.181394,True,0.3844103
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881103,-1.9306355,0.042525172,0.26287425,-2.445869,-1.4154019,True,0.16177002
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.5272654,-2.8300896,2.302824,0.14860351,-3.1213524,-2.5388267,False,15.49643
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,-2.6867654,-2.4275243,-0.2592411,0.12479424,-2.672121,-2.1829276,False,-2.0773485
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246895,-0.5490211,0.42655218,0.4670558,-1.4644505,0.36640823,True,0.9132788
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-0.19747382,-0.53171873,0.3342449,0.4731922,-1.4591753,0.39573795,True,0.70636183
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-2.4104888,-0.7608215,-1.6496673,0.88969934,-2.5046322,0.98298925,True,-1.8541851
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.2023008,-1.223363,0.021062255,0.01653431,-1.2557703,-1.1909558,True,1.2738515
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.47293362,-0.3945613,-0.07837233,0.11755757,-0.62497413,-0.16414845,True,-0.66667193
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7329444,-0.6770895,-0.055854917,0.42755336,-1.515094,0.16091508,True,-0.13063847
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.45996,-2.14489,-0.3150699,0.12920819,-2.398138,-1.891642,False,-2.438467
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-1.4912084,-2.4714046,0.9801961,0.18050359,-2.8251915,-2.1176176,False,5.4303412
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.1002958,-1.7582029,-0.34209287,0.85888326,-3.4416142,-0.07479167,True,-0.3982996
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.3046093,-0.35343874,0.048829436,0.09131119,-0.53240865,-0.1744688,True,0.5347585
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.2685277,-0.3824842,0.11395651,0.13816388,-0.6532854,-0.11168298,True,0.8247923
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.30412295,-0.7708108,0.46668783,1.3199605,-3.3579335,1.8163118,True,0.35356197
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-1.5501872,-1.8434806,0.29329336,0.98388916,-3.7719035,0.08494222,True,0.29809594
C2H4,None,None,alkanes_alkenes_alkynes,Ethene,0.0,-0.012098551,0.012098551,0.005872299,-0.023608256,-0.00058884453,False,2.060275
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.0831358,-1.9124888,-0.17064703,0.27093148,-2.4435146,-1.381463,True,-0.62985307
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.64916146,-0.58713466,-0.0620268,0.37590244,-1.3239034,0.14963412,True,-0.1650077
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.1033635,-1.9131773,-0.19018626,0.2714983,-2.445314,-1.3810406,True,-0.70050627
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7750492,-0.64768547,-0.12736374,0.118549794,-0.8800431,-0.41532785,True,-1.0743481
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-2.5933847,-1.8813708,-0.71201396,0.118790016,-2.1141992,-1.6485424,False,-5.9938874
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.5593495,-0.9692656,-0.59008396,0.6681036,-2.2787485,0.34021747,True,-0.8832223
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.1714629,-0.60790294,-0.56355995,0.20326893,-1.00631,-0.20949584,False,-2.7724845
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-1.0374961,-0.7608215,-0.27667457,0.88969934,-2.5046322,0.98298925,True,-0.31097534
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.135341,-1.8681289,0.73278785,0.050168175,-1.9664586,-1.7697992,False,14.606627
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.0904624,-2.4875655,0.39710307,0.50549966,-3.478345,-1.4967861,True,0.78556544
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.338841,-1.8152684,0.47642744,0.45200783,-2.7012038,-0.92933303,True,1.0540247
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.6719637,-0.8824032,-1.7895606,1.1198004,-3.077212,1.3124058,True,-1.5981066
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.24033412,-0.3990574,0.15872326,0.13129489,-0.6563954,-0.1417194,True,1.2089067
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7806883,-0.7797685,-2.0009198,0.88868195,-2.5215852,0.9620481,False,-2.251559
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-2.6729336,0.48721957,0.36976,-3.397663,-1.948204,True,1.3176644
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-1.3939513,-1.1522357,-0.24171555,0.14195871,-1.4304748,-0.8739967,True,-1.7027173
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.8780565,-2.7243087,-0.1537478,0.1844426,-3.0858161,-2.3628013,True,-0.83358073
C2H4,None,None,alkanes_alkenes_alkynes,Ethene,0.0,-0.012098551,0.012098551,0.005872299,-0.023608256,-0.00058884453,False,2.060275
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.1939761,-0.35909438,0.16511828,0.09094705,-0.5373506,-0.18083817,True,1.815543
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-1.0898432,-0.6770414,-0.41280174,0.21393691,-1.0963578,-0.25772506,True,-1.929549
CH4O,None,None,alcohols_aldehydes_ketones_ethers,Methanol,0.0,0.0074841976,-0.0074841976,0.0049089817,-0.0021374067,0.017105803,True,-1.5245926
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.21161768,-2.340642,2.1290243,2.1183906,-6.4926877,1.8114038,True,1.0050197
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.18160242,-0.3739934,0.19239098,0.17039482,-0.7079673,-0.040019542,True,1.1290894
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.46923956,-0.4316786,-0.03756097,0.1279265,-0.68241453,-0.18094265,True,-0.29361367
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.30412295,-2.5435166,2.2393937,0.03617796,-2.6144254,-2.4726079,False,61.89939
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-1.5694237,-1.7072388,0.13781512,0.16344109,-2.0275834,-1.3868942,True,0.84320974
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-0.42302877,-2.1583166,1.7352879,0.048742194,-2.2538514,-2.0627818,False,35.60135
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-2.337632,-2.3990896,0.061457634,0.24940802,-2.8879294,-1.9102498,True,0.24641402
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.81660837,-1.5546377,0.7380293,2.289934,-6.0429087,2.933633,True,0.32229283
C2H6,None,None,alkanes_alkenes_alkynes,Ethane,0.0,-0.00021624565,0.00021624565,0.004264357,-0.008574385,0.008141894,True,0.050710026
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.4508537,-1.1496059,-0.30124784,0.3650602,-1.8651239,-0.43408787,True,-0.82520044
