formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-2.9986238,0.20772624,0.072029956,-3.1398025,-2.8574452,False,2.8838868
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.6187286,-0.5148468,0.898415,-3.379622,0.14216483,True,-0.5730612
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-1.8730284,-0.86825097,1.1512411,-4.129461,0.38340414,True,-0.7541869
C2H5N,None,None,imines,Ethanimine,0.0,-0.00085139275,0.00085139275,0.004659277,-0.009983576,0.00828079,True,0.18273066
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.7193667,-0.36011302,0.32902133,-2.3642485,-1.0744848,True,-1.0944974
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.41483098,0.22733426,0.13842276,-0.6861396,-0.14352238,True,1.6423185
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.5071645,0.67844915,0.5837945,-3.6514015,-1.3629273,True,1.162137
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.4258611,0.116522074,0.9034032,-3.1965313,0.34480917,True,0.12898125
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.8321971,-1.3535168,0.90808636,-2.6120465,0.94765216,True,-1.4905155
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.4969712,-1.8407542,0.7742924,-3.0145845,0.020641923,False,-2.3773372
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.7687583,0.24405944,0.6410115,-2.0251408,0.48762417,True,0.38074115
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.44238734,0.053791285,0.18897581,-0.8127799,-0.07199475,True,0.2846464
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.85760635,0.7827177,0.72076464,-2.2703052,0.5550924,True,1.0859547
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-1.0347623,0.19528049,0.3175563,-1.6571727,-0.4123519,True,0.6149476
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-0.96059686,0.70262766,1.1186388,-3.1531289,1.2319353,True,0.6281095
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.8284705,-0.2790742,0.4922631,-2.793306,-0.86363477,True,-0.5669208
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-1.3460811,0.15825152,0.12907442,-1.599067,-1.0930953,True,1.2260487
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-1.0828574,0.06306648,0.10071869,-1.280266,-0.8854487,True,0.6261646
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-2.574129,-0.00040531158,0.026909636,-2.626872,-2.5213861,True,-0.015061949
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-0.41258848,0.22288139,0.20662323,-0.81757,-0.0076069534,True,1.078685
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.3471177,-0.029250026,0.074792065,-1.4937102,-1.2005252,True,-0.3910846
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-2.9156947,-0.30017114,0.19214135,-3.2922916,-2.5390978,True,-1.5622412
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-1.0705261,-0.6266563,0.27427876,-1.6081126,-0.53293973,False,-2.2847424
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.4441654,0.32989305,0.28423992,-1.0012757,0.11294484,True,1.1606148
