formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-3.0396423,0.24874473,0.040703684,-3.1194215,-2.9598632,False,6.1111107
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.6364746,-0.49710083,0.897433,-3.3954434,0.1224941,True,-0.5539141
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-2.0551558,-0.6861236,0.8970593,-3.8133922,-0.29691947,True,-0.76485866
C2H5N,None,None,imines,Ethanimine,0.0,0.002486825,-0.002486825,0.004918935,-0.007154288,0.012127938,True,-0.5055617
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.4677144,-0.61176527,0.43033108,-2.3111634,-0.6242655,True,-1.4216154
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.37631226,0.18881553,0.12589712,-0.6230706,-0.12955388,True,1.4997605
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.4085217,0.5798063,0.9072327,-4.186698,-0.63034546,True,0.6390933
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.4647733,0.15543425,0.6363692,-2.712057,-0.2174896,True,0.24425168
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.9957125,-1.1900015,1.1793835,-3.3073041,1.3158791,True,-1.009003
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.1415249,-2.1962004,0.9862048,-3.0744863,0.79143655,False,-2.226921
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.8036993,0.27900046,0.72271067,-2.2202122,0.61281365,True,0.38604724
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.491364,0.102767944,0.18347494,-0.8509749,-0.13175312,True,0.56011975
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.8648186,0.7899299,0.78866994,-2.4106116,0.6809746,True,1.0015976
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-0.99593925,0.15645748,0.2293649,-1.4454944,-0.54638404,True,0.6821335
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-0.84320784,0.5852386,1.1902877,-3.1761718,1.4897561,True,0.49167824
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.7333179,-0.3742268,0.48756635,-2.688948,-0.7776878,True,-0.7675403
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-1.3241433,0.13631368,0.13657977,-1.5918397,-1.0564469,True,0.99805176
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-1.1088004,0.08900952,0.10963722,-1.3236893,-0.8939115,True,0.81185496
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-2.583085,0.008550644,0.032364175,-2.646519,-2.5196512,True,0.2642009
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-0.32117605,0.13146897,0.11500102,-0.54657805,-0.09577404,True,1.1431983
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.3278941,-0.048473597,0.05266054,-1.4311087,-1.2246795,True,-0.9204918
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-2.939229,-0.27663684,0.13573517,-3.20527,-2.673188,False,-2.038063
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-1.2324985,-0.4646839,0.35811803,-1.9344099,-0.5305872,True,-1.2975719
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.6048489,0.49057657,0.5287062,-1.641113,0.43141526,True,0.92788124
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-0.66409534,0.5287395,0.11392414,-0.8873867,-0.440804,False,4.6411543
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-1.7643034,-0.0188483,0.28829947,-2.3293705,-1.1992364,True,-0.0653775
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.4181488,-0.67702246,0.25887367,0.5352831,-1.7261773,0.37213242,True,0.4836201
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9872928,-1.7329774,-0.25431538,0.48775786,-2.688983,-0.77697194,True,-0.52139676
C2H2,None,None,alkanes_alkenes_alkynes,Acetylene,0.0,-0.0052440166,0.0052440166,0.0072818524,-0.019516448,0.009028414,True,0.72014874
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-0.693961,0.42857125,0.98415047,-2.622896,1.2349739,True,0.4354733
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.79394776,-0.8063061,0.012358367,0.18306541,-1.1651144,-0.4474979,True,0.06750793
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.166147,-1.7940037,1.6278567,0.04068489,-1.8737462,-1.7142613,False,40.011333
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.9669564,-2.939229,-0.027727365,0.13573517,-3.20527,-2.673188,True,-0.20427547
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-3.4020224,-3.101732,-0.30029035,0.083079,-3.264567,-2.9388971,False,-3.6145155
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.32321647,-0.31708872,-0.006127745,0.08130482,-0.47644615,-0.15773128,True,-0.07536755
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881103,-1.8760968,-0.012013435,0.39445096,-2.6492207,-1.102973,True,-0.030456094
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.5272654,-2.9152622,2.3879967,0.095092736,-3.101644,-2.7288804,False,25.112293
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,-2.6867654,-2.1586199,-0.52814555,0.10877996,-2.3718286,-1.9454112,False,-4.855173
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246895,-0.6236026,0.5011337,0.46678373,-1.5384988,0.2912935,True,1.0735886
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-0.19747382,-0.51970184,0.322228,0.31299496,-1.133172,0.0937683,True,1.029499
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-2.4104888,-0.8036993,-1.6067896,0.72271067,-2.2202122,0.61281365,False,-2.2232819
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.2023008,-1.2234993,0.021198511,0.018622722,-1.2599999,-1.1869987,True,1.1383142
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.47293362,-0.41857982,-0.054353803,0.08384735,-0.5829206,-0.25423902,True,-0.6482471
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7329444,-0.75087297,0.01792854,0.36962497,-1.475338,-0.026408017,True,0.04850468
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.45996,-2.2307343,-0.22922564,0.26529425,-2.750711,-1.7107576,True,-0.864043
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-1.4912084,-2.331403,0.8401946,0.1788037,-2.6818583,-1.9809477,False,4.6989775
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.1002958,-1.6002781,-0.50001764,1.1320707,-3.8191366,0.61858034,True,-0.44168413
