System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-1.1352293481006654,-0.3006933321132692,0.3006933321132692
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.45358010983,-0.04235765194425767,0.04235765194425767
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.5706957773536487,-0.4482268289893909,0.4482268289893909
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.8244652354965183,0.051968911861422384,0.051968911861422384
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.8165584238117845,-0.1316215427464158,0.1316215427464158
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.3807035731852011,-0.1977472948610739,0.1977472948610739
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-1.8027985969438305,0.049968274508501054,0.049968274508501054
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.4875551215509404,0.2927088984151851,0.2927088984151851
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.5303019229640995,-0.007158869909289933,0.007158869909289933
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.2370379066935584,-0.6034680104723975,0.6034680104723975
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-1.8576592444928792,0.27072391514457195,0.27072391514457195
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.41442697431011766,0.06740073178843886,0.06740073178843886
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.530596654473186,0.05791898483192881,0.05791898483192881
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.8761734334675566,0.18359142859299027,0.18359142859299027
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.8244984564198603,0.04366644054516655,0.04366644054516655
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.038941521337165,0.08776770145641422,0.08776770145641422
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.37830983150161046,0.207022502539985,0.207022502539985
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.200837016909645,-0.14485967239670572,0.14485967239670572
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.571753093463485,0.05364959551661741,0.05364959551661741
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.6574313829887615,-0.18675877556688647,0.18675877556688647
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-0.6054228676298408,-0.11755461821348945,0.11755461821348945
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.4545697592639044,0.25650220881470887,0.25650220881470887
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-0.5086960239059408,-0.036864433968730737,0.036864433968730737
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.1004579393174936,0.31591364462110505,0.31591364462110505
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-2.4896271143079503,0.28776431940787006,0.28776431940787006
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-1.12672649154365,-0.6376381648510687,0.6376381648510687
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-0.9987284671153702,1.3423476685200058,1.3423476685200058
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.3232410252094269,-0.37976020058795257,-0.05651917537852569,0.05651917537852569
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-2.8048507051225897,0.026261918092131964,0.026261918092131964
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-0.7467370819340431,0.5325311828364647,0.5325311828364647
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.9233978986740112,-2.336809912510944,-0.4134120138369326,0.4134120138369326
CH3Ir40NO80,IrO2,110,imines,Methanimine,-2.1561923027038574,-2.653271649731323,-0.4970793470274657,0.4970793470274657
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.4217197895050049,-1.1520302801868638,-0.7303104906818589,0.7303104906818589
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-1.723997941538073,-1.3418966143572106,1.3418966143572106
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.0235742330551147,-0.9943340054501277,0.029240227604987012,0.029240227604987012
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-2.0178627967834473,-0.8645385055324368,1.1533242912510104,1.1533242912510104
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.5634293556213379,-0.821119685333997,-0.25769032971265915,0.25769032971265915
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.25239330530166626,-0.3924784973496571,-0.14008519204799086,0.14008519204799086
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.9194198250770569,-0.6908617785875322,0.2285580464895247,0.2285580464895247
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-0.30235400795936584,-0.32769285423273686,-0.02533884627337102,0.02533884627337102
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.34245041012763977,-0.3807035731852011,-0.038253163057561324,0.038253163057561324
CH3NO81Ru40,RuO2,110,amides,Formamide,-1.3570019006729126,-1.5198751233735948,-0.16287322270068216,0.16287322270068216
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-1.2037107944488525,-1.3221081696217425,-0.11839737517288995,0.11839737517288995
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.8130224231954344,-0.1019504551168211,0.1019504551168211
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-1.6991528272628784,-1.7475510437070625,-0.04839821644418407,0.04839821644418407
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.409914255142212,-2.3368097919983484,0.07310446314386354,0.07310446314386354
