System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-0.6798082428194903,0.15472777316790598,0.15472777316790598
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.622172169347323,-0.2109497114615806,0.2109497114615806
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.5663259906423264,-0.44385704227806855,0.44385704227806855
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.8685867043827784,0.007847442975162267,0.007847442975162267
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.7970182103026673,-0.11208132923729863,0.11208132923729863
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.400787238243538,-0.21783095991941082,0.21783095991941082
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-1.955909066141885,-0.10314219468955343,0.10314219468955343
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.4464054367784058,0.33385858318771966,0.33385858318771966
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.40119551406724,0.12194753898756971,0.12194753898756971
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.1429773438878783,-0.5094074476667174,0.5094074476667174
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-1.9247124526059451,0.20367070703150603,0.20367070703150603
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.423554718802734,0.05827298729582253,0.05827298729582253
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.5778724878213097,0.010643151483805013,0.010643151483805013
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.8010482917106856,0.2587165703498613,0.2587165703498613
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.9451456644474092,-0.07698076748238236,0.07698076748238236
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.118498815073508,0.008210407720071089,0.008210407720071089
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.7548921692687145,-0.16955983522711904,0.16955983522711904
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.2645572081701175,-0.20857986365717807,0.20857986365717807
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.679559322907153,-0.05415663392705028,0.05415663392705028
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.670778755498759,-0.20010614807688398,0.20010614807688398
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-1.0703502173378183,-0.582481967921467,0.582481967921467
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.295405159064103,0.41566680901451036,0.41566680901451036
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-0.24742881438032782,0.22440277555688226,0.22440277555688226
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.2416714653481904,0.17470011859040824,0.17470011859040824
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-2.463414178644598,0.3139772550712223,0.3139772550712223
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-1.166413895312985,-0.6773255686204038,0.6773255686204038
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-0.9352389068344564,1.4058372288009195,1.4058372288009195
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.3232410252094269,-0.3544734042206983,-0.031232379011271405,0.031232379011271405
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-2.7281924021262967,0.10292022108842502,0.10292022108842502
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-0.6737629694935094,0.6055052952769984,0.6055052952769984
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.9233978986740112,-2.430491704229098,-0.5070938055550869,0.5070938055550869
