formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-2.9237928,0.13289523,0.14244957,-3.202994,-2.6445916,True,0.93292826
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.1810148,-0.95256066,1.1400967,-3.4156044,1.0535748,True,-0.8355087
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-2.2730796,-0.46819973,0.7557856,-3.7544193,-0.7917398,True,-0.6194875
C2H5N,None,None,imines,Ethanimine,0.0,0.0036536455,-0.0036536455,0.012591669,-0.021026026,0.028333317,True,-0.29016373
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.4080611,-0.67141855,0.62887424,-2.6406546,-0.17546761,True,-1.0676515
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.38457465,0.19707793,0.15697652,-0.69224864,-0.07690066,True,1.2554612
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.8403711,1.0116558,0.5820878,-3.9812632,-1.699479,True,1.737978
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.6592152,0.34987617,0.77958506,-3.187202,-0.13122845,True,0.44879794
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.76366407,-1.42205,0.5578137,-1.8569789,0.32965082,False,-2.5493279
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.5925523,-1.7451731,0.9182185,-3.3922606,0.20715594,True,-1.9006077
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.79733914,0.2726403,0.55709803,-1.8892512,0.294573,True,0.48939374
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.38378155,-0.0048145056,0.16342464,-0.7040938,-0.06346926,True,-0.029460097
