System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-0.7973420681996686,0.037193947787727666,0.037193947787727666
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.598358759972143,-0.18713630208640097,0.18713630208640097
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.6346553066287015,-0.5121863582644437,0.5121863582644437
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.7824218858063432,0.09401226155159748,0.09401226155159748
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.7901192860067567,-0.10518240494138809,0.10518240494138809
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.42973002521921444,-0.24677374689508724,0.24677374689508724
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-1.9237109929376857,-0.07094412148535412,0.07094412148535412
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.5246378790625954,0.2556261409035301,0.2556261409035301
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.469732171974101,0.05341088108070835,0.05341088108070835
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.0071661263582428,-0.3735962301370819,0.3735962301370819
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-2.053635200307326,0.07474795933012501,0.07474795933012501
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.43945201732003625,0.04237568877852027,0.04237568877852027
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.5990965936986186,-0.010580954393503816,0.010580954393503816
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.817440655970131,0.24232420609041583,0.24232420609041583
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.9663264761747996,-0.09816157920977275,0.09816157920977275
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.1038038707210944,0.022905352072484675,0.022905352072484675
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.5500552235916985,0.03527711044989701,0.03527711044989701
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.1348309427385175,-0.07885359822557803,0.07885359822557803
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.6519296411715914,-0.026526952191488817,0.026526952191488817
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.856648705826956,-0.38597609840508085,0.38597609840508085
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-0.8469956075241498,-0.3591273581077985,0.3591273581077985
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.023603099981301,0.6874688680973122,0.6874688680973122
