formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-2.9822083,0.19131064,0.055326525,-3.0906482,-2.8737683,False,3.4578466
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.6478032,-0.48577225,0.7767675,-3.1702676,-0.12533891,True,-0.62537664
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-1.972702,-0.76857734,0.8844381,-3.7062006,-0.23920333,True,-0.86900073
C2H5N,None,None,imines,Ethanimine,0.0,0.0036423206,-0.0036423206,0.0057338113,-0.00759595,0.014880591,True,-0.63523555
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.3018647,-0.77761495,0.5134415,-2.3082101,-0.29551935,True,-1.5145152
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.36747456,0.17997783,0.15909699,-0.67930466,-0.055644453,True,1.1312461
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.3311903,0.502475,0.9476475,-4.1885796,-0.47380114,True,0.5302341
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.6353314,0.32599235,0.68269944,-2.9734223,-0.2972405,True,0.47750494
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.9086642,-1.2770498,0.8666722,-2.6073418,0.7900133,True,-1.4735096
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.1943074,-2.1434178,1.4535506,-4.043267,1.6546518,True,-1.4746083
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.7778525,0.25315362,0.6779349,-2.1066048,0.5508999,True,0.37341878
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.55085135,0.16225529,0.25799638,-1.0565243,-0.045178413,True,0.6289053
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.7686613,0.6937727,0.74791723,-2.234579,0.6972565,True,0.9276062
