System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-1.2449119586556208,-0.4103759426682245,0.4103759426682245
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-1.8295379918804429,0.5816844660052993,0.5816844660052993
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-1.132540079404862,-1.010071131040604,1.010071131040604
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-1.6400025605769315,-0.7635684132189908,0.7635684132189908
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.0587454569581496,0.6261914241072191,0.6261914241072191
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-1.0674465266065454,-0.8844902482824182,0.8844902482824182
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-1.2768992252022144,0.5758676462501171,0.5758676462501171
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.1357778913070433,0.6444861286590822,0.6444861286590822
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-1.2910864198618128,1.2320566331929967,1.2320566331929967
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.8465175537612595,-1.2129476575400986,1.2129476575400986
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-1.0341777592479957,1.0942054003894555,1.0942054003894555
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.8977585858024213,-0.4159308797038648,0.4159308797038648
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.1889646189051746,0.39955102039994017,0.39955102039994017
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-1.6591698779875514,1.4005949840729954,1.4005949840729954
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.950005816909652,-0.08184091994462506,0.08184091994462506
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-1.7524791652731437,0.37423005752043537,0.37423005752043537
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-1.6264726416129633,-1.0411403075713679,1.0411403075713679
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-1.9299110646925328,1.1260662798204066,1.1260662798204066
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-1.9495960740850933,1.6758066148950093,1.6758066148950093
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-1.8671181575978153,0.6035544498240597,0.6035544498240597
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-1.6220837536552608,-1.1342155042389095,1.1342155042389095
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-1.7893343573443872,0.9217376107342261,0.9217376107342261
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-1.1987215295305305,-0.7268899395933204,0.7268899395933204
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.0184736122930644,0.3978979716455342,0.3978979716455342
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-1.937802952518723,0.8395884811970973,0.8395884811970973
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-1.941186403892516,-1.4520980771999348,1.4520980771999348
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-1.8762276444322197,0.4648484912031563,0.4648484912031563
