System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-0.7429357531354981,0.09160026285189815,0.09160026285189815
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.462373913920601,-0.05115145603485871,0.05115145603485871
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.6422802590559513,-0.5198113106916935,0.5198113106916935
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.9107671371502875,-0.03433298979234678,0.03433298979234678
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.791299013931848,-0.10636213286647944,0.10636213286647944
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.4667099176986085,-0.2837536393744813,0.2837536393744813
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-1.932836507947286,-0.08006963649495447,0.08006963649495447
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.4657440214172652,0.31451999854886026,0.31451999854886026
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.4717523246117707,0.051390728443038824,0.051390728443038824
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.0707912934371961,-0.43722139721603526,0.43722139721603526
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-2.052590898411381,0.07579226122606997,0.07579226122606997
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.45658155712590087,0.025246148972655647,0.025246148972655647
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.591179955598136,-0.0026643162930213293,0.0026643162930213293
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.873090359737944,0.18667450232260308,0.18667450232260308
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.8755833238406012,-0.007418426875574369,0.007418426875574369
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.1554131487009727,-0.028703925907393568,0.028703925907393568
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.6311127786289035,-0.04578044458730801,0.04578044458730801
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.2553769201858813,-0.19939957567294186,0.19939957567294186
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.6417031833461806,-0.016300494366078055,0.016300494366078055
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.8584438614489045,-0.3877712540270295,0.3877712540270295
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-0.9683579975494467,-0.4804897481330954,0.4804897481330954
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.4133432439457465,0.2977287241328668,0.2977287241328668
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-0.24915455474729242,0.22267703518991766,0.22267703518991766
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.4092866271706157,0.007084956767982931,0.007084956767982931
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-2.8103249897712885,-0.032933556055468216,0.032933556055468216
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-1.0311563277109599,-0.5420680010183787,0.5420680010183787
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-0.9573497745172972,1.3837263611180788,1.3837263611180788
