System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.36451029777526855,-0.9071723646745937,-0.5426620668993252,0.5426620668993252
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.1369130611419678,-2.521468908986705,0.6154441521552627,0.6154441521552627
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.8988723754882812,-0.8847386306346934,1.0141337448535879,1.0141337448535879
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.1420687437057495,-1.2940949488215967,-0.1520262051158472,0.1520262051158472
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-2.2366387844085693,-1.8572857474368405,0.37935303697172884,0.37935303697172884
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.7372099161148071,-0.5214465465128626,0.21576336960194453,0.21576336960194453
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7290334701538086,-0.4055539905149885,0.32347947963882007,0.32347947963882007
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.8194541931152344,-2.98548417001831,-0.16602997690307575,0.16602997690307575
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2370519638061523,-3.542760902099758,-0.30570893829360557,0.30570893829360557
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.41814878582954407,-1.0637520791040025,-0.6456032932744584,0.6456032932744584
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.0700387954711914,-2.7055427355241477,0.3644960599470437,0.3644960599470437
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-2.368375062942505,-2.521468908986705,-0.15309384604420018,0.15309384604420018
CH3NO2,None,None,carbamate-esters,Carbamic-acid,0.0,-0.00891733735585376,-0.00891733735585376,0.00891733735585376
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763676881790161,-0.9522931662529501,0.424074521926066,0.424074521926066
