formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-4.367753,-2.825983,-1.54177,0.7289727,-4.2547693,-1.3971965,False,-2.11499
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.92697227,-1.673342,0.7463697,0.9110487,-3.4589975,0.11231351,True,0.81924236
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.4805303,-1.3751291,-1.1054012,0.63277346,-2.615365,-0.13489306,True,-1.7469145
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.9085112,-2.8510158,-0.057495356,0.79499555,-4.4092073,-1.2928245,True,-0.07232161
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.7382373,-1.3265055,-0.41173172,0.58990985,-2.482729,-0.17028224,True,-0.69795704
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.27693567,-1.5461317,1.269196,0.8743724,-3.2599018,0.1676383,True,1.4515508
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.2170694,-1.0736032,-0.14346623,0.47077638,-1.9963249,-0.15088141,True,-0.30474392
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.6903308,-0.7692044,0.078873575,0.42709547,-1.6063116,0.067902744,True,0.18467434
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.5168205,-1.6011641,0.08434355,0.95708865,-3.477058,0.27472973,True,0.08812512
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3709321,-0.7548695,-0.6160626,0.40705726,-1.5527017,0.04296273,True,-1.5134543
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38210133,-2.1411612,1.7590599,0.32050696,-2.7693548,-1.5129676,False,5.488367
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.62520176,-0.9530587,0.32785696,0.4385786,-1.8126729,-0.093444645,True,0.74754435
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-1.5487318,-2.1670067,0.6182749,0.2219637,-2.6020555,-1.7319579,False,2.7854776
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.56342936,-1.2909507,0.7275213,0.6691654,-2.6025147,0.020613551,True,1.0872071
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.0807958,-1.3527802,-0.72801554,0.66846997,-2.6629815,-0.042579055,True,-1.0890775
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.20609812,-0.87333643,0.6672383,0.50851613,-1.870028,0.12335521,True,1.3121281
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.21161768,-1.6905587,1.478941,0.883684,-3.4225793,0.041461945,True,1.6736084
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.9778366,-1.244474,0.26663744,0.7928624,-2.7984843,0.30953634,True,0.33629724
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.188802,-1.5379586,-0.6508434,0.51671696,-2.550724,-0.52519333,True,-1.2595743
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-0.9511266,-0.23670304,0.4371165,-1.8078749,-0.09437823,True,-0.54151016
C2H6,None,None,alkanes_alkenes_alkynes,Ethane,0.0,0.0904187,-0.0904187,0.2825902,-0.46345812,0.6442955,True,-0.31996402
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-0.4174712,-1.7363575,1.3188863,0.52751976,-2.770296,-0.7024187,False,2.5001647
