System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.36451029777526855,-1.140246303938497,-0.7757360061632284,0.7757360061632284
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.1369130611419678,-2.429433407559628,0.7074796535823396,0.7074796535823396
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.8988723754882812,-1.068189098393887,0.8306832770943942,0.8306832770943942
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.1420687437057495,-1.2873878416284317,-0.14531909792268216,0.14531909792268216
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-2.2366387844085693,-1.8061164321002607,0.4305223523083086,0.4305223523083086
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.7372099161148071,-0.45278083013597836,0.28442908597882877,0.28442908597882877
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7290334701538086,-0.4513931125682902,0.2776403575855184,0.2776403575855184
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.8194541931152344,-2.9063078450580235,-0.08685365194278916,0.08685365194278916
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2370519638061523,-3.4493238716106447,-0.21227190780449234,0.21227190780449234
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.41814878582954407,-1.0296599706081544,-0.6115111847786103,0.6115111847786103
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.0700387954711914,-2.5699759820571444,0.500062813414047,0.500062813414047
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-2.368375062942505,-2.429433407559628,-0.06105834461712334,0.06105834461712334
CH3NO2,None,None,carbamate-esters,Carbamic-acid,0.0,0.0005886538208699221,0.0005886538208699221,0.0005886538208699221
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763676881790161,-0.7983685428048304,0.5779991453741857,0.5779991453741857
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.8827897310256958,-1.5323966998303957,-0.6496069688046999,0.6496069688046999
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.9616990089416504,-2.8013558341165066,0.16034317482514382,0.16034317482514382
C2H6O,None,None,alcohols_aldehydes_ketones_ethers,Ethanol,0.0,0.00027240129250571954,0.00027240129250571954,0.00027240129250571954
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-0.15899904072284698,-1.2817669470813335,-1.1227679063584866,1.1227679063584866
CH3NO,None,None,amides,Formamide,0.0,0.011553875413795822,0.011553875413795822,0.011553875413795822
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.5323402881622314,-0.5096644824519743,0.02267580571025718,0.02267580571025718
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344161987305,-2.543670671305975,0.030863744892755562,0.030863744892755562
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-0.25802111625671387,-2.126865307795626,-1.868844191538912,1.868844191538912
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.8748815059661865,-1.4443843562650596,0.43049714970112696,0.43049714970112696
CH3Ir40NO80,IrO2,110,imines,Methanimine,-0.5223361849784851,-1.9272421019222499,-1.4049059169437648,1.4049059169437648
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.1250195503234863,-1.6927260584951362,0.4322934918283501,0.4322934918283501
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.2121331691741943,-1.5996113729380053,0.6125217962361891,0.6125217962361891
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881102800369263,-1.9444567177856413,-0.05634643774871506,0.05634643774871506
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.3876349925994873,-1.9043057522569136,0.48332924034257374,0.48332924034257374
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-1.7540119886398315,-1.1000347212956854,0.6539772673441462,0.6539772673441462
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,-0.46820539236068726,-1.5074295387283092,-1.039224146367622,1.039224146367622
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-1.1122420566136597,-0.9897731082494019,0.9897731082494019
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-1.9095062017440796,-2.027991029595931,-0.11848482785185155,0.11848482785185155
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.48616594076156616,-0.9389708443423501,-0.45280490358078396,0.45280490358078396
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.5246691703796387,-0.38271407577241234,0.14195509460722633,0.14195509460722633
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.222173810005188,-1.7223403424083532,-0.5001665324031652,0.5001665324031652
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.959524154663086,-1.142183780365663,0.817340374297423,0.817340374297423
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-1.6977403163909912,-1.652265961030686,0.045474355360305196,0.045474355360305196
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-1.3730629657549027,-0.09379470098439491,0.09379470098439491
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.3849923014640808,-0.5084138976770589,-0.1234215962129781,0.1234215962129781
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-2.0562589168548584,-1.8769860639763927,0.17927285287846573,0.17927285287846573
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.866476058959961,-2.7377727476597613,0.12870331130019963,0.12870331130019963
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.6010286808013916,-0.4638030164700382,0.13722566433135341,0.13722566433135341
CH5Ir40NO80,IrO2,110,amines,Methanamine,-2.7799482345581055,-1.5798016540171105,1.200146580540995,1.200146580540995
CH5Ir40NO80,IrO2,110,amines,Methanamine,-0.4044719338417053,-1.9899878128227684,-1.585515878981063,1.585515878981063
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-3.367225408554077,-2.8439410294857908,0.5232843790682864,0.5232843790682864
C2H7N,None,None,amines,Ethanamine,0.0,0.005795157499207448,0.005795157499207448,0.005795157499207448
C2H2Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Acetylene,-2.021026849746704,-2.1587730517297814,-0.1377462019830773,0.1377462019830773
C3H7N,None,None,imines,Propan-2-imine,0.0,-0.00555396225217919,-0.00555396225217919,0.00555396225217919
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-1.5952223869562427,1.235890236258479,1.235890236258479
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4741363823413849,-2.5638205980248756,-2.0896842156834907,2.0896842156834907
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.2445947229862213,-0.9041323626919251,-0.6595376397057038,0.6595376397057038
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.9988579750061035,-2.5801061300095682,0.4187518449965353,0.4187518449965353
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-1.498257040977478,-1.9272920995317904,-0.42903505855431234,0.42903505855431234
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.0748886689543724,-1.1665627866539836,-1.0916741176996112,1.0916741176996112
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.8518341779708862,-1.843662396333869,0.008171781637017261,0.008171781637017261
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-1.6273972988128662,-0.7481207917555821,0.8792765070572841,0.8792765070572841
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1335694789886475,-1.0517951001402466,1.0817743788484009,1.0817743788484009
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.079479694366455,-1.0667945057712345,1.0126851885952206,1.0126851885952206
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.46923956274986267,-0.4383610161922604,0.03087854655760225,0.03087854655760225
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.4043467044830322,-1.3738162753488634,0.030530429134168813,0.030530429134168813
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.904345691204071,-0.939392309765438,-0.03504661856136693,0.03504661856136693
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-0.33845579624176025,-1.5952223869562427,-1.2567665907144825,1.2567665907144825
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.3388409614562988,-2.024011170768972,-0.6851702093126733,0.6851702093126733
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-3.0013198852539062,-1.7297116136725137,1.2716082715813926,1.2716082715813926
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.966956377029419,-2.1544259299219988,0.8125304471074202,0.8125304471074202
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-1.9378560781478882,-2.364136959190674,-0.4262808810427856,0.4262808810427856
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.3526405096054077,-0.4638030164700382,-0.11116250686463047,0.11116250686463047
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.8227038383483887,-1.5723909816287955,0.25031285671959314,0.25031285671959314
CH4N2,None,None,amidines,Formimidamide,0.0,-0.002191814836891126,-0.002191814836891126,0.002191814836891126
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-3.3252744674682617,-1.9722533323121105,1.3530211351561512,1.3530211351561512
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.312835156917572,-0.6253175778300601,-0.3124824209124881,0.3124824209124881
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-0.42302876710891724,-2.3597321974131447,-1.9367034303042274,1.9367034303042274
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.3995556831359863,-1.651580189644088,-0.2520245065081017,0.2520245065081017
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.8044032454490662,-0.9763153142195229,-0.17191206877045673,0.17191206877045673
CH3NO80Ru40,RuO2,110,imines,Methanimine,-1.9954522848129272,-2.0284989856658484,-0.03304670085292116,0.03304670085292116
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-0.36213627457618713,-1.0441437164245997,-0.6820074418484126,0.6820074418484126
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-3.462773323059082,-2.1698562541766506,1.2929170688824314,1.2929170688824314
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,-2.6325106620788574,-1.2626531893606447,1.3698574727182127,1.3698574727182127
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.31471437215805054,-0.7099261169785436,-0.39521174482049304,0.39521174482049304
CH3Ir40NO81,IrO2,110,amides,Formamide,-0.48171451687812805,-1.8178479767840443,-1.3361334599059163,1.3361334599059163
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8572229146957397,-2.8284279590338883,-1.9712050443381486,1.9712050443381486
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-1.4860243797302246,-1.2967327447427408,0.1892916349874838,0.1892916349874838
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9952746629714966,-1.7768673087515054,0.21840735421999113,0.21840735421999113
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.7939477562904358,-0.811629848602621,-0.017682092312185205,0.017682092312185205
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.701883316040039,-1.6927260584951362,0.00915725754490282,0.00915725754490282
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.3093390464782715,-1.085921123527772,0.22341792295049956,0.22341792295049956
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-2.162959575653076,-1.9272074504175407,0.23575212523553546,0.23575212523553546
C2H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethene,-2.0499541759490967,-1.3106684351173445,0.7392857408317521,0.7392857408317521
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.3046092987060547,-0.4378958450626129,-0.13328654635655823,0.13328654635655823
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-2.085936325444159,-0.23316945399182742,0.23316945399182742
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.14012962579727173,-0.4515745035273966,-0.31144487773012486,0.31144487773012486
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-0.19747382402420044,-0.8797066428604978,-0.6822328188362974,0.6822328188362974
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.8786487579345703,-2.9560581981574785,-0.07740944022290819,0.07740944022290819
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.8166083693504333,-1.6524457713409948,-0.8358374019905614,0.8358374019905614
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.9644678831100464,-1.6720482257700375,0.29241965734000885,0.29241965734000885
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-0.6331849694252014,-0.4340001442745489,0.1991848251506525,0.1991848251506525
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2759068012237549,-1.327627108644359,-0.05172030742060407,0.05172030742060407
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672174453735,-0.5469552102700277,-0.35945848852549034,0.35945848852549034
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-1.5352437496185303,-2.32673162666174,-0.7914878770432097,0.7914878770432097
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.4639633893966675,-1.9190016119343376,-0.4550382225376701,0.4550382225376701
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.3300057649612427,-0.811629848602621,-0.4816240836413783,0.4816240836413783
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.8478001952171326,-0.5625404074146374,0.28525978780249517,0.28525978780249517
CH3NO81Ru40,RuO2,110,amides,Formamide,-1.6291782855987549,-1.2466059209995635,0.3825723645991914,0.3825723645991914
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.25239330530166626,-0.5523302755638326,-0.29993697026216637,0.29993697026216637
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.48554784059524536,-1.0590134474697628,-0.5734656068745174,0.5734656068745174
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-0.17997466027736664,-0.43453504810455,-0.2545603878271834,0.2545603878271834
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-2.344968795776367,-1.283560906736117,1.0614078890402503,1.0614078890402503
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.18160241842269897,-0.4478149533813962,-0.26621253495869723,0.26621253495869723
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-2.215564250946045,-2.201223385529808,0.014340865416237136,0.014340865416237136
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7819788455963135,-1.7995522892197044,0.982426556376609,0.982426556376609
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.2420014142990112,-0.8800200717055731,0.36198134259343817,0.36198134259343817
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-1.3393352031707764,-0.5822251016194713,0.7571101015513051,0.7571101015513051
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.1545283943414688,-1.142183780365663,-0.9876553860241941,0.9876553860241941
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-3.1487274169921875,-1.5723909816287955,1.576336435363392,1.576336435363392
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.3723996579647064,-0.4513079109942666,-0.07890825302956017,0.07890825302956017
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.4372934103012085,-1.7968252556989661,-1.3595318453977576,1.3595318453977576
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-3.286905288696289,-2.5801061300095682,0.7067991586867208,0.7067991586867208
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.2879798412323,-1.6505990978161158,0.637380743416184,0.637380743416184
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-1.5922133073748093,-0.757677291387413,0.757677291387413
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-2.0472495555877686,-2.042658959362562,0.004590596225206411,0.004590596225206411
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.3324686884880066,-0.47354963457051724,-0.14108094608251065,0.14108094608251065
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.692023277282715,-2.828464298610129,-0.1364410213274141,0.1364410213274141
C3H8S,None,None,thiols_thials_thioketones_thioethers,Propane-2-thiol,0.0,6.7295256656052516e-06,6.7295256656052516e-06,6.7295256656052516e-06
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.8486064672470093,-1.7778437507097138,0.07076271653729549,0.07076271653729549
CH5NO80Ru40,RuO2,110,amines,Methanamine,-2.0525600910186768,-1.8883682699297957,0.16419182108888108,0.16419182108888108
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,-2.680413246154785,-1.225237283365482,1.455175962789303,1.455175962789303
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970708549022675,-0.470186136698004,-0.2804790512077773,0.2804790512077773
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-2.4050779342651367,-2.3418913683960056,0.06318656586913107,0.06318656586913107
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.102449893951416,-1.831970567369389,0.2704793265820271,0.2704793265820271
CH3NO80Ru40,RuO2,110,imines,Methanimine,-1.9711624383926392,-2.0342187858585845,-0.06305634746594535,0.06305634746594535
CH5Ir40NO80,IrO2,110,amines,Methanamine,-2.766110420227051,-2.1427961606054566,0.6233142596215941,0.6233142596215941
CH4O,None,None,alcohols_aldehydes_ketones_ethers,Methanol,0.0,-0.01664047945769198,-0.01664047945769198,0.01664047945769198
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.6729063987731934,-0.9766713131594003,0.6962350856137931,0.6962350856137931
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-2.564100503921509,-2.8284279590338883,-0.26432745511237954,0.26432745511237954
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.218430757522583,-1.9722533323121105,-0.7538225747895275,0.7538225747895275
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.7076367139816284,-0.6051979750143062,1.1024387389673223,1.1024387389673223
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.202300786972046,-0.9015923981890808,0.30070838878296513,0.30070838878296513
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.058440089225769,-1.0316925008086457,0.026747588417123325,0.026747588417123325
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-2.636058807373047,-1.4971471037045916,1.1389117036684553,1.1389117036684553
CH4,None,None,alkanes_alkenes_alkynes,Methane,0.0,-0.016928986228521126,-0.016928986228521126,0.016928986228521126
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.208850383758545,-1.0884132695679618,2.120437114190583,2.120437114190583
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.4217197895050049,-1.5306902973767276,-1.1089705078717227,1.1089705078717227
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.32315343618392944,-1.0943081688168235,-0.771154732632894,0.771154732632894
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.40236806869506836,-0.4078354038436345,-0.0054673351485661215,0.0054673351485661215
CH5NO80Ru40,RuO2,110,amines,Methanamine,-2.015036106109619,-1.8883682699297957,0.12666783617982347,0.12666783617982347
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7551279067993164,-1.4699205029777145,0.2852074038216019,0.2852074038216019
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-1.0799410343170166,-1.5706828987766484,-0.49074186445963175,0.49074186445963175
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-1.9321399927139282,-2.0275920922547357,-0.09545209954080747,0.09545209954080747
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-2.4760804176330566,-1.692448386074318,0.7836320315587386,0.7836320315587386
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-0.37686827778816223,-1.5952223869562427,-1.2183541091680805,1.2183541091680805
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.17648303508758545,-0.9870330031415193,-0.8105499680539339,0.8105499680539339
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.8191183805465698,-1.4699205029777145,0.34919787756885534,0.34919787756885534
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-0.782765805721283,-1.8207276426634351,-1.0379618369421522,1.0379618369421522
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.1431918144226074,-2.576679037878634,0.5665127765439735,0.5665127765439735
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.389265775680542,-2.390117546363612,0.9991482293169298,0.9991482293169298
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.799348440835729,0.2604164212248179,0.2604164212248179
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-2.404695510864258,-2.429433407559628,-0.02473789669537041,0.02473789669537041
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-2.357088088989258,-2.0511996805453947,0.3058884084438631,0.3058884084438631
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.559349536895752,-1.6413886572723388,-0.0820391203765869,0.0820391203765869
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.8343639373779297,-1.5773943872827427,0.25696955009518696,0.25696955009518696
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4562015533447266,-0.9994786634675243,0.4567228898772022,0.4567228898772022
C2H4O2,None,None,carbonates_carboxylic-acids_esters,Acetic-acid,0.0,0.01098324585174737,0.01098324585174737,0.01098324585174737
CH5Ir40NO80,IrO2,110,amines,Methanamine,-0.1974053978919983,-1.5798016540171105,-1.3823962561251122,1.3823962561251122
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-0.5261513590812683,-1.7977362618661736,-1.2715849027849053,1.2715849027849053
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7806882858276367,-2.126865307795626,0.6538229780320108,0.6538229780320108
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.0235742330551147,-1.321091141212273,-0.29751690815715826,0.29751690815715826
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.3232164680957794,-0.4067595805105384,-0.08354311241475898,0.08354311241475898
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.6905152797698975,-2.5002688176219863,0.1902464621479112,0.1902464621479112
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.8636300563812256,-2.287401278742763,0.5762287776384625,0.5762287776384625
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.2579692304134369,-1.3539170272523826,-1.0959477968389457,1.0959477968389457
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.65096378326416,-2.6201393295298203,0.03082445373433984,0.03082445373433984
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.6491614580154419,-0.5582262490400325,0.09093520897540941,0.09093520897540941
C2H5Ir40NO80,IrO2,110,imines,Ethanimine,-0.10763505846261978,-1.8139887997254789,-1.706353741262859,1.706353741262859
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.392246961593628,-1.36859393449034,1.023653027103288,1.023653027103288
CH3NO81Ru40,RuO2,110,amides,Formamide,-0.40854349732398987,-0.9980487134193403,-0.5895052160953504,0.5895052160953504
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7376527786254883,-2.126865307795626,0.6107874708298624,0.6107874708298624
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.878056526184082,-2.8932221600839227,-0.015165633899840714,0.015165633899840714
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.4599599838256836,-1.5381305954204194,0.9218293884052642,0.9218293884052642
C3H8,None,None,alkanes_alkenes_alkynes,Propane,0.0,0.0013078336776857213,0.0013078336776857213,0.0013078336776857213
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-1.5110210180282593,-2.0134184298325124,-0.5023974118042531,0.5023974118042531
