System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.36451029777526855,-0.9819482554589136,-0.6174379576836451,0.6174379576836451
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.1369130611419678,-2.4909536092205258,0.645959451921442,0.645959451921442
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.8988723754882812,-0.9250725524252204,0.9737998230630609,0.9737998230630609
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.1420687437057495,-1.3453192415787347,-0.20325049787298521,0.20325049787298521
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-2.2366387844085693,-1.7956889994050442,0.4409497850035251,0.4409497850035251
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.7372099161148071,-0.5495631273250652,0.18764678878974195,0.18764678878974195
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7290334701538086,-0.41499466866955004,0.31403880148425856,0.31403880148425856
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.8194541931152344,-2.9818902350356495,-0.16243604192041516,0.16243604192041516
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2370519638061523,-3.5375093422576356,-0.30045737845148324,0.30045737845148324
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.41814878582954407,-1.1095398837827481,-0.6913910979532041,0.6913910979532041
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.0700387954711914,-2.725330125862513,0.3447086696086785,0.3447086696086785
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-2.368375062942505,-2.4909536092205258,-0.1225785462780209,0.1225785462780209
CH3NO2,None,None,carbamate-esters,Carbamic-acid,0.0,-0.0026712271518221087,-0.0026712271518221087,0.0026712271518221087
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763676881790161,-0.8214385877354573,0.5549291004435588,0.5549291004435588
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.8827897310256958,-1.6608222738560272,-0.7780325428303314,0.7780325428303314
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.9616990089416504,-2.734932613346416,0.22676639559523437,0.22676639559523437
C2H6O,None,None,alcohols_aldehydes_ketones_ethers,Ethanol,0.0,0.0015558267317601349,0.0015558267317601349,0.0015558267317601349
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-0.15899904072284698,-1.29367383635892,-1.134674795636073,1.134674795636073
CH3NO,None,None,amides,Formamide,0.0,0.004868621073910617,0.004868621073910617,0.004868621073910617
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.5323402881622314,-0.4597087370854567,0.07263155107677477,0.07263155107677477
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344161987305,-2.4373759989605546,0.1371584172381759,0.1371584172381759
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-0.25802111625671387,-1.807951795545879,-1.5499306792891652,1.5499306792891652
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.8748815059661865,-1.5576524981452025,0.31722900782098407,0.31722900782098407
CH3Ir40NO80,IrO2,110,imines,Methanimine,-0.5223361849784851,-1.9634432256050687,-1.4411070406265836,1.4411070406265836
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.1250195503234863,-1.646136619338316,0.4788829309851703,0.4788829309851703
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.2121331691741943,-1.7323123487504901,0.4798208204237042,0.4798208204237042
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881102800369263,-1.9369792975143625,-0.048869017477436216,0.048869017477436216
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.3876349925994873,-1.9878885270662607,0.39974646553322657,0.39974646553322657
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-1.7540119886398315,-1.0236404609880623,0.7303715276517693,0.7303715276517693
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,-0.46820539236068726,-1.3604337199768004,-0.8922283276161131,0.8922283276161131
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.9003076222926012,-0.7778386739283434,0.7778386739283434
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-1.9095062017440796,-2.043509992952089,-0.1340037912080092,0.1340037912080092
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.48616594076156616,-0.6385509537170577,-0.15238501295549156,0.15238501295549156
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.5246691703796387,-0.44157725284281213,0.08309191753682654,0.08309191753682654
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.222173810005188,-1.4702033760495903,-0.2480295660444023,0.2480295660444023
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.959524154663086,-1.1270144933541921,0.8325096613088938,0.8325096613088938
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-1.6977403163909912,-1.757591373394959,-0.05985105700396787,0.05985105700396787
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-1.3326074260835874,-0.053339161313079586,0.053339161313079586
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.3849923014640808,-0.5163372757547364,-0.13134497429065561,0.13134497429065561
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-2.0562589168548584,-1.9975520306629733,0.05870688619188513,0.05870688619188513
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.866476058959961,-2.702840593385446,0.16363546557451514,0.16363546557451514
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.6010286808013916,-0.44148916620108025,0.15953951460031135,0.15953951460031135
CH5Ir40NO80,IrO2,110,amines,Methanamine,-2.7799482345581055,-1.446255109746682,1.3336931248114234,1.3336931248114234
CH5Ir40NO80,IrO2,110,amines,Methanamine,-0.4044719338417053,-1.701869651406268,-1.2973977175645626,1.2973977175645626
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-3.367225408554077,-2.722620985900008,0.6446044226540693,0.6446044226540693
C2H7N,None,None,amines,Ethanamine,0.0,-0.003356891115686267,-0.003356891115686267,0.003356891115686267
C2H2Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Acetylene,-2.021026849746704,-2.1944500445481907,-0.1734231948014866,0.1734231948014866
C3H7N,None,None,imines,Propan-2-imine,0.0,-0.017016274872801773,-0.017016274872801773,0.017016274872801773
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-1.319917409730353,1.5111952134843687,1.5111952134843687
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4741363823413849,-2.406622343494135,-1.93248596115275,1.93248596115275
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.2445947229862213,-0.9318000392456014,-0.6872053162593801,0.6872053162593801
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.9988579750061035,-2.30957603191753,0.6892819430885737,0.6892819430885737
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-1.498257040977478,-1.713794863933023,-0.2155378229555449,0.2155378229555449
