formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-4.367753,-3.0506005,-1.3171525,0.45465544,-3.9417253,-2.1594758,False,-2.8970344
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.92697227,-1.9644811,1.0375088,0.68162555,-3.3004673,-0.628495,True,1.5221097
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.4805303,-1.6261548,-0.8543755,0.30012605,-2.2144017,-1.0379077,False,-2.8467221
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.9085112,-2.3598442,-0.54866695,0.55445296,-3.446572,-1.2731164,True,-0.9895645
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.7382373,-1.0719823,-0.666255,0.37207422,-1.8012477,-0.3427168,True,-1.7906508
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.27693567,-1.5068288,1.2298931,0.91955614,-3.3091588,0.29550123,True,1.3374856
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.2170694,-1.2222846,0.005215168,0.2927934,-1.7961596,-0.6484095,True,0.017811768
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.6903308,-0.94658226,0.25625145,0.19134557,-1.3216196,-0.5715449,True,1.3392076
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.5168205,-1.6460068,0.12918627,0.8234354,-3.2599401,-0.03207338,True,0.15688695
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3709321,-1.0479367,-0.32299542,0.37344494,-1.7798889,-0.31598455,True,-0.86490774
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38210133,-2.0586433,1.676542,0.10258033,-2.2597008,-1.8575859,False,16.343699
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.62520176,-0.6084413,-0.016760468,0.28051153,-1.1582439,-0.058638692,True,-0.05974966
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-1.5487318,-2.3442478,0.795516,0.23697147,-2.808712,-1.8797837,False,3.3570118
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.56342936,-1.2560004,0.69257104,0.9490227,-3.116085,0.60408413,True,0.72977287
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.0807958,-1.5614594,-0.51933634,0.6136361,-2.7641861,-0.3587327,True,-0.8463263
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.20609812,-0.48822516,0.28212702,0.23236543,-0.94366145,-0.032788903,True,1.2141523
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.21161768,-2.154699,1.9430814,1.2273906,-4.5603848,0.25098658,True,1.5830994
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.9778366,-0.99668914,0.018852532,0.64096576,-2.2529821,0.2596038,True,0.029412698
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.188802,-1.6745721,-0.5142299,0.31465587,-2.2912977,-1.0578465,True,-1.6342613
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-0.7053323,-0.48249733,0.313086,-1.3189809,-0.091683686,True,-1.5411016
C2H6,None,None,alkanes_alkenes_alkynes,Ethane,0.0,0.0023896694,-0.0023896694,0.009816582,-0.016850833,0.021630172,True,-0.24343191
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-0.4174712,-1.880847,1.4633758,0.6554879,-3.1656032,-0.5960907,False,2.2324986
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-1.2761489,-1.848546,0.5723971,0.52490675,-2.8773632,-0.81972873,True,1.0904739
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.9685642,0.85429186,0.5888837,-2.1227763,0.1856479,True,1.4506971
CH5NO80Ru40,RuO2,110,amines,Methanamine,-0.31025186,-1.6441593,1.3339075,0.25664246,-2.1471786,-1.1411401,False,5.197532
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.28224644,-0.49811065,0.21586421,0.24788931,-0.98397374,-0.012247592,True,0.8708089
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.1990073,-2.5504348,-0.64857244,0.62465006,-3.7747488,-1.3261207,True,-1.0382973
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.1939761,-0.42228198,0.22830588,0.1519008,-0.72000754,-0.12455642,True,1.5029932
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-1.7450719,-1.5231152,-0.22195673,0.18902434,-1.8936028,-1.1526275,True,-1.174223
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.9989017,-1.6963849,-0.30251682,0.66570467,-3.001166,-0.3916037,True,-0.45443097
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.5815883,0.75287294,0.65738285,-3.8700585,-1.2931179,True,1.145258
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.8185169,-1.8523111,0.033794284,0.61386013,-3.0554771,-0.64914525,True,0.05505209
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.681627,-1.9355743,-0.74605274,0.8315116,-3.5653372,-0.30581152,True,-0.89722466
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-1.3276253,-0.912214,-0.4154113,0.31028175,-1.5203662,-0.3040617,True,-1.3388196
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.82214534,-0.86497146,0.042826116,0.4260314,-1.699993,-0.029949903,True,0.100523375
CH3Ir40NO80,IrO2,110,imines,Methanimine,-2.7626388,-2.578783,-0.18385577,0.31650916,-3.199141,-1.958425,True,-0.5808861
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-2.8772736,0.08637595,0.23558806,-3.3390262,-2.415521,True,0.36663976
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-1.95471,1.566114,0.06324434,-2.0786688,-1.8307511,False,24.762909
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7329444,-0.8342721,0.10132766,0.45662746,-1.7292619,0.06071776,True,0.22190443
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.8751256,-3.0417547,0.16662908,0.2211719,-3.4752517,-2.6082578,True,0.7533917
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.6417942,-0.41801035,-0.22378385,0.15269879,-0.71729994,-0.11872074,True,-1.4655248
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.7461878,-2.5630243,0.8168365,0.3642337,-3.2769222,-1.8491262,False,2.2426164
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.2359695,-1.1500745,0.914105,0.83889264,-2.7943041,0.49415517,True,1.0896567
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-3.0061305,-3.2937975,0.28766704,0.47387144,-4.2225857,-2.3650093,True,0.60705715
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.0674099,-2.8659334,1.7985235,0.3531221,-3.5580528,-2.173814,False,5.093206
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,-0.5592134,-0.8623892,0.3031758,0.36016986,-1.5683222,-0.15645629,True,0.84175783
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.5394167,-0.38201475,-0.15740192,0.099586196,-0.5772037,-0.1868258,True,-1.5805596
