formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-4.367753,-3.2241626,-1.1435905,0.55685765,-4.3156037,-2.1327214,False,-2.0536497
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.92697227,-1.7316576,0.80468535,0.79663855,-3.2930694,-0.170246,True,1.010101
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.4805303,-1.6862466,-0.7942836,0.39766815,-2.4656763,-0.906817,False,-1.9973528
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.9085112,-2.6307359,-0.2777753,0.4219874,-3.4578311,-1.8036406,True,-0.6582549
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.7382373,-1.2054687,-0.5327686,0.48730537,-2.1605873,-0.25035012,True,-1.0932952
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.27693567,-1.4500586,1.1731229,0.8699125,-3.155087,0.25496995,True,1.3485527
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.2170694,-1.1480362,-0.069033146,0.37228787,-1.8777205,-0.418352,True,-0.18542948
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.6903308,-0.62027633,-0.07005447,0.26222134,-1.1342301,-0.10632253,True,-0.2671578
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.5168205,-1.2123781,-0.3044424,0.8863965,-2.9497154,0.5249591,True,-0.34346074
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3709321,-0.99253,-0.3784021,0.43149403,-1.8382583,-0.14680165,True,-0.87695795
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38210133,-1.952899,1.5707977,0.16773371,-2.281657,-1.6241409,False,9.36483
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.62520176,-0.74639046,0.1211887,0.34804899,-1.4285665,-0.06421441,True,0.3481944
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-1.5487318,-2.0810528,0.532321,0.18431023,-2.4423008,-1.7198048,False,2.8881793
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.56342936,-1.1052355,0.5418061,0.8979188,-2.8651564,0.6546855,True,0.6034021
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.0807958,-1.5324421,-0.5483537,0.7240345,-2.9515498,-0.11333442,True,-0.7573585
