Epoch,Train_MAE_eV,Val_MAE_eV,Test_MAE_eV,Train_std_eV,Val_std_eV,Test_std_eV,Learning_Rate
1,0.8996590832049882,0.7813368938008293,0.8364098814667248,1.1023887816242006,0.8679671075173653,0.8729965805429724,0.001
2,0.8190629711754067,0.7572876508118677,0.852272229116471,0.932015755548917,0.9306285240250737,0.9345720120804315,0.001
3,0.7962255097969997,0.8146032778943171,0.9018300556745685,0.917348719378423,0.9576113678203015,0.9630616199710624,0.001
4,0.7917624140368084,0.7516597919776792,0.8472951982842117,0.9268866344784037,0.968622822950301,0.9773677640584172,0.001
5,0.788086220242478,0.7235320747875776,0.7884672977885262,0.9166060094984004,0.926829597283529,0.9365614549469152,0.001
6,0.7478667109591578,0.7332931385665643,0.7732609178199142,0.9002816288912566,1.0841703582594884,1.095899218129653,0.001
7,0.7260219574037783,0.7763599372300946,0.7439417174605073,0.8833171865705616,0.7519428024421838,0.7592111242362954,0.001
8,0.7474489497335705,0.697792115758677,0.7220267545981486,0.91992203742417,0.8161534811895075,0.8271973432677029,0.001
9,0.7351245992760969,0.7008524136465104,0.7379146247613625,0.8480330627571181,0.8290384693014731,0.8426649892493046,0.001
10,0.722368551317245,0.700574917871444,0.762351143555563,0.8376603705402784,0.8491893198055696,0.8674038199343889,0.001
11,0.7317025617998882,0.6836870771939637,0.7404691743069007,0.8603657735712436,0.8255398633157228,0.84791147330436,0.001
12,0.6874352944714195,0.6816990727283916,0.6809268466761855,0.8437815980006834,0.7644456574493197,0.7878983134782055,0.001
13,0.6962448109823641,0.6894842640298312,0.774249397340368,0.8432118486174127,0.9128930719298771,0.9344395022388452,0.001
14,0.7309223061230137,0.7019694437746142,0.7072996819605593,0.9070093075798773,0.8075193178259324,0.8317197447628122,0.001
15,0.7229873200168379,0.6957270512815381,0.774704927303752,0.8438574624342899,0.8653587889478472,0.8854564342549179,0.001
16,0.6610160411560568,0.6663864714200379,0.7257400751113892,0.8117763977472824,0.7840294487507081,0.7988101165380909,0.001
17,0.6724995760140666,0.6472063846275454,0.6673452971411533,0.7846083460896283,0.7567682296327456,0.7682304154593217,0.001
18,0.6901512752746224,0.7547560988879595,0.7131565125262151,0.8488279232297163,0.7770358272645871,0.8005668862914807,0.001
19,0.6796261712469758,0.6842100737524814,0.7028024392049821,0.811229634984162,0.7377092892048163,0.759621192283428,0.001
20,0.6648041880556131,0.6580055268084417,0.6698445609358491,0.808098892741503,0.7716656203966266,0.779834614643158,0.001
21,0.6667469888264291,0.6648739322287137,0.6717389411613589,0.7975879373193598,0.7607270617803309,0.7696258704827508,0.001
22,0.6177124783510693,0.6547054540915568,0.7022897806323942,0.8220554689970653,0.7416287950719551,0.7573393261189018,0.001
23,0.6196798868944872,0.6387197736833916,0.6496586174261375,0.7417992760406869,0.7837717146936981,0.790588138480964,0.001
24,0.614072865310015,0.6420416284780033,0.6201549436225265,0.7677033024190651,0.6669060365277691,0.6797634600165517,0.001
25,0.6552801086012277,0.7837350563924821,0.754686891055498,0.7308833686105562,0.7616168500707928,0.773937910591738,0.001
26,0.6941007541809593,0.6925357326132352,0.6702812538772333,0.8916741110617445,0.7421344255780516,0.7471682820549798,0.001
27,0.6482962279503252,0.6547102928161621,0.6364225735429858,0.793358648774567,0.7849236406185303,0.7968822513009081,0.001
28,0.6163845844283726,0.6295261617566719,0.613332531491264,0.7525422873773909,0.7336199517691415,0.7412240040722807,0.001
29,0.619595547385806,0.6518930528984695,0.625474280998355,0.7438718528661082,0.7207940617584568,0.7313816343280697,0.001
30,0.6301738106560225,0.7151468542755627,0.7516366653755063,0.7345385712815152,0.912163478860419,0.9362846011527383,0.001
31,0.7486998949323032,0.7178699501225205,0.7523760482913158,0.9207324298320276,0.7085648927069399,0.7261499710882244,0.001
32,0.7220380609579371,0.698300549241363,0.7261436923605497,0.8415377110137184,0.7149368369453807,0.7341534367133844,0.001
33,0.7082078098121387,0.6757315534060119,0.7291814186533944,0.8320710823443116,0.9600591127992801,0.9896500014498939,0.001
34,0.6798653497667821,0.7111138281275015,0.7225785099092077,0.8131759544574847,0.6330601972907445,0.6590831054987509,0.001
35,0.6807371577893256,0.6579128484256932,0.6739543617748823,0.8672120509832086,0.7139429608057819,0.7427733307152212,0.0007
36,0.6309541522039974,0.659248230887241,0.6638256252789106,0.7479706522236428,0.7654943287430348,0.8058622162434879,0.0007
37,0.6423623492597579,0.6636705281304531,0.6417859538656766,0.7778236597243235,0.721283937601128,0.7436823917007475,0.0007
38,0.5961284110072053,0.6366863837007617,0.6336559096320731,0.7749154417040969,0.7332798217079617,0.7492928793245905,0.0007
39,0.602341632244404,0.6298254278839611,0.6320119920324107,0.7343055493170765,0.6798427686863201,0.6946267572701581,0.0007
40,0.5966998476234225,0.6485733126030594,0.6258931472653249,0.7330391008626904,0.6768639901146638,0.6979130013414975,0.0007
41,0.5751224906364361,0.6214656868918997,0.6053331992665275,0.7166531292088861,0.6644192591085153,0.6763038462189985,0.00049
42,0.5744887214967337,0.6226020289249108,0.6095474587112176,0.6723133101928507,0.6739051322965316,0.6842516552955675,0.00049
43,0.5743626296813068,0.6277789913240026,0.5790436131055238,0.6987436700629034,0.6721322576866355,0.6818492905096036,0.00049
44,0.5569915642205092,0.6115192663474162,0.6074576026103535,0.6798721567286476,0.6861011779128598,0.6919859713743268,0.00049
45,0.5872219651438061,0.6245967716467186,0.5895606728850818,0.712956595703984,0.7067978828248442,0.7201515460098686,0.00049
46,0.553190421937491,0.6232920982798592,0.5704533037592153,0.6801448565083494,0.6894848199379313,0.6976577629133388,0.00049
47,0.5401786776830905,0.6417968781268011,0.5705615457941274,0.6794703631670665,0.6529721436600345,0.6633879807378102,0.00049
48,0.5494159812060114,0.6462588075731621,0.5758430606029072,0.7254647706941282,0.587056378827789,0.5967809106129345,0.00049
49,0.5489320264440504,0.6285333789762904,0.5772218117948438,0.6558199433108138,0.695661183353382,0.7042630887014506,0.00049
50,0.5544904721559292,0.6190481928528332,0.5637899461339732,0.6900785582181008,0.6001375434935028,0.5989143874910063,0.00049
51,0.5463600601972645,0.6344837360694761,0.5883656759731105,0.674296200020996,0.6931982391896577,0.689051614996223,0.000343
52,0.5708529300550749,0.6816037639242704,0.5812073340181445,0.7108044995562514,0.6106145275033422,0.6187563515970576,0.000343
53,0.5471383024316419,0.6231313377130226,0.609284013998313,0.6305187320562495,0.7027944312485231,0.715081301654206,0.000343
54,0.5479108699615713,0.6160488714937304,0.5748040011671723,0.6925898464695347,0.6204054550915546,0.618670095418584,0.000343
55,0.5302180513582002,0.6206238777911077,0.583971519939235,0.6327824606343181,0.6522980018535683,0.6582128072645757,0.000343
56,0.5387086935887508,0.6200533186803099,0.5645141132542344,0.6621345001612992,0.5945151090528362,0.5885124856827194,0.000343
57,0.5335762929801625,0.6369952686497422,0.6007234932946377,0.6364937398172178,0.7203980698630871,0.7163173785738195,0.00024009999999999998
58,0.5392591191232746,0.6299790906124427,0.5625040296648369,0.7140419165149423,0.5790635558521174,0.5837122321418926,0.00024009999999999998
59,0.5287357414066336,0.6248086593190177,0.5689672602981818,0.6202145596104723,0.6907197778497696,0.6995026686172563,0.00024009999999999998
60,0.5214863315483349,0.6167820946114962,0.5670581313430286,0.6262037200021519,0.6641429809190573,0.6677276699993447,0.00024009999999999998
61,0.5346485256601621,0.6298449664819435,0.5733269511676226,0.6978743593463812,0.6094139609671575,0.60725211039913,0.00024009999999999998
62,0.5376537832229076,0.6251502818748599,0.567353361942729,0.6497288324553525,0.6214348295389586,0.6235549870043389,0.00024009999999999998
63,0.5159391700034416,0.6427134881254102,0.5579009837791568,0.5964717853858917,0.6069636720568338,0.6062099961689611,0.00016806999999999998
64,0.5175079518175344,0.6222750202554171,0.564558099527828,0.6524682949792683,0.6125399293133363,0.608324377461113,0.00016806999999999998
65,0.5152580934347616,0.6318977621735119,0.5728078787444068,0.6354317397186594,0.6964454306946827,0.701466591666132,0.00016806999999999998
66,0.5231135575351542,0.6231659240409976,0.568836618642338,0.6400272175200885,0.5872467228553994,0.5887124217805757,0.00016806999999999998
67,0.5116418296179959,0.6235356526296647,0.5634408309811452,0.5970445187898964,0.6539995014783183,0.6531245138770274,0.00016806999999999998
68,0.5131209787751182,0.622728765987959,0.5569552359033804,0.6432969515306672,0.5924474282218655,0.5864000364903232,0.00016806999999999998
69,0.5076581374514518,0.6274932056176857,0.5735618481870557,0.5908371867671792,0.6613321823203379,0.6594889953801614,0.00011764899999999998
70,0.510639555888573,0.625631926489658,0.561073971576378,0.6546617165940002,0.5928605071244508,0.5919692657339641,0.00011764899999999998
71,0.5117290050533064,0.6270749647109235,0.5618376497362481,0.5999151749124398,0.5939861444169804,0.5888380605924054,0.00011764899999999998
72,0.5139450402855971,0.613391282128506,0.5700118209494919,0.6324370038814504,0.6245075604864492,0.623543575540156,0.00011764899999999998
73,0.5064449092886207,0.629662326124848,0.5642835116777264,0.6005826442660688,0.5843087639162925,0.5816039691656342,0.00011764899999999998
74,0.5154316892434816,0.6257464299436475,0.5621038069490527,0.6732199748379852,0.6272485136789959,0.6230839813359496,0.00011764899999999998
75,0.506806969520614,0.6193437498123919,0.5618716419720259,0.5902217472498912,0.5896757103659152,0.5859926532568098,8.235429999999999e-05
76,0.5022726327811537,0.6280417676831855,0.5625689615968799,0.6136253051354683,0.6256420854378555,0.623587595212926,8.235429999999999e-05
77,0.5031170110249764,0.624447021328035,0.5564704918470539,0.6014722339796115,0.5865965551867366,0.5829806546449771,8.235429999999999e-05
78,0.5102696429792649,0.6379200435075604,0.5657844895222148,0.6201747435964072,0.6015313844085942,0.5977955568249081,8.235429999999999e-05
79,0.5147763563945948,0.6197824399979388,0.5684296967553311,0.5942824064215516,0.5894749370248313,0.5915593667455602,8.235429999999999e-05
80,0.5084245319897484,0.6291093513613841,0.564868622138852,0.6359981897732498,0.585855840468059,0.5872749234614186,8.235429999999999e-05
81,0.5048833926392173,0.6253271923690545,0.5587537640430889,0.5929731981844446,0.5777320090533198,0.5785456082100775,5.764800999999999e-05
82,0.49924930555733255,0.6194236356703962,0.5614574854491187,0.5970348341398705,0.5805910417174016,0.5773390199629871,5.764800999999999e-05
83,0.5005294293198689,0.6242719204699407,0.5630745965926374,0.5847975408772274,0.5915913912990128,0.5873609341022149,5.764800999999999e-05
84,0.5014498885199354,0.6209716210599805,0.5578713886073379,0.5995212345313247,0.5873224692162429,0.5826893262034628,5.764800999999999e-05
85,0.5001609339545829,0.6293486259022697,0.5577840570543633,0.5839928978078794,0.5933391888641616,0.5887179846177893,5.764800999999999e-05
86,0.5012032165726125,0.6255423240974302,0.5573976000801462,0.6076360038615148,0.5917352361258332,0.5871758228447767,5.764800999999999e-05
87,0.49977643905906227,0.6279776487194124,0.5539366417243833,0.5931093562060559,0.586541417889955,0.5819867785053784,4.035360699999999e-05
88,0.49832123083177876,0.6283506330896597,0.558332513590328,0.6095540556420213,0.597602109362065,0.5922711160687318,4.035360699999999e-05
89,0.4988004182382225,0.6261959115012747,0.5551892264944608,0.5992566495705972,0.5863151327816787,0.5805916938010691,4.035360699999999e-05
90,0.49815948137740357,0.6249557166803078,0.5571387283137588,0.5830892252338944,0.5880647336399328,0.583759319023025,4.035360699999999e-05
91,0.4989508337136656,0.624824875690898,0.5593690012322098,0.5895583661656761,0.5915747792663207,0.585608000371882,4.035360699999999e-05
92,0.49729493600379465,0.6300785893299541,0.5590334642128866,0.6066291088580755,0.6051131511880009,0.5989143754153828,4.035360699999999e-05
93,0.4972203338082752,0.6270055888129062,0.5548714770645392,0.6021431341520429,0.582256338622977,0.5768814262870694,2.8247524899999994e-05
94,0.49745183374100527,0.6277929681246398,0.5560249422417313,0.5923764490488221,0.5948417989450897,0.5898335468151339,2.8247524899999994e-05
95,0.49751131440474655,0.6250599446843882,0.5555131005459144,0.6019143413392919,0.5813661558621482,0.5758539638133822,2.8247524899999994e-05
96,0.49850852274555607,0.6303630148778196,0.5582256121713607,0.5971356575454614,0.5976049028562953,0.5930234676632302,2.8247524899999994e-05
97,0.49782844509928453,0.6273815553696429,0.5542129805830659,0.5944506627920922,0.578414342157709,0.5742728259530037,2.8247524899999994e-05
98,0.4986180308724626,0.6270954726172275,0.5578877378682621,0.5954190701000488,0.587286757572423,0.5811381962674169,2.8247524899999994e-05
99,0.4955264314278601,0.6255948778058662,0.5543208200423444,0.5891960867275734,0.5744051586854457,0.5687094413111242,1.9773267429999995e-05
100,0.49787676570661504,0.6264324266402448,0.5572406424850714,0.5884813936357461,0.5856848093875913,0.5805224280248232,1.9773267429999995e-05
101,0.4955541867452638,0.6254818165888552,0.5558476799824199,0.5961386806541017,0.5868885920648279,0.5814499727646801,1.9773267429999995e-05
102,0.4960105921462882,0.6276916363200203,0.5562719868831947,0.5905379300079865,0.588057959215164,0.5822601142679166,1.9773267429999995e-05
103,0.4957965124744381,0.6240067990099798,0.5567409796792953,0.5907284538282128,0.581546573727263,0.5749827599074464,1.9773267429999995e-05
104,0.4951210317832193,0.627379515131966,0.5555574268591209,0.5895207022960612,0.5891084660036472,0.5830151828776966,1.9773267429999995e-05
105,0.4953765851838902,0.6266760747940814,0.5564971282833913,0.5947820943791632,0.5860577247665025,0.5796593912655635,1.3841287200999995e-05
106,0.49647923451453346,0.6276115902134629,0.5545674386571665,0.5913518256883873,0.5860719498509547,0.5799492625818453,1.3841287200999995e-05
107,0.49416859582904293,0.6261419038303563,0.5564870521670482,0.5933848803399147,0.5866855082544526,0.5800694874891508,1.3841287200999995e-05
108,0.49525629537010857,0.6266956446600742,0.5552882991853307,0.59197404097218,0.584763721081085,0.5782505886529881,1.3841287200999995e-05
109,0.4950248896943284,0.6271096878364438,0.554710247477547,0.589188795734467,0.5805487931360744,0.5738749422099564,1.3841287200999995e-05
110,0.49449389232852103,0.6261363459415124,0.5557171360391086,0.5881134373128748,0.5836501594120292,0.5770580081291274,1.3841287200999995e-05
111,0.4946548332192745,0.6275795287773257,0.5548196737883521,0.5942700382996425,0.5843035794486144,0.5777238258058123,9.688901040699997e-06
112,0.49420654951362125,0.6269749578882436,0.5555840828379647,0.5900289652880751,0.5841588571264883,0.5771905219959215,9.688901040699997e-06
113,0.4941245897413494,0.6267792631368168,0.5556669821504687,0.5898038219970851,0.5833048328075479,0.5765019860462745,9.688901040699997e-06
114,0.4942684724722101,0.6263694997693672,0.5556451492622251,0.5915631007966856,0.5830521785628126,0.5760504986106267,9.688901040699997e-06
115,0.49398185453015264,0.6274662604097461,0.5551138627724569,0.5874674612272933,0.5825035346859022,0.5755120827867987,9.688901040699997e-06
116,0.4943066847763911,0.6273336762287578,0.5548183800744229,0.5892495092858216,0.582451991899708,0.5754777155623921,9.688901040699997e-06
117,0.493919052734522,0.6272255670828898,0.555452151376693,0.5904239589319045,0.5849525516305533,0.5778562148911638,6.782230728489997e-06
118,0.49402738264955487,0.6274793812485991,0.5549389925159391,0.5872071456703318,0.5818378780175303,0.5746828617984736,6.782230728489997e-06
119,0.49410532778017263,0.6276897836904056,0.5545073337242251,0.5860207626247851,0.5812250280506095,0.5741362748027615,6.782230728489997e-06
120,0.4938192327796984,0.6278530965085889,0.555281400680542,0.5901077748320732,0.5856970057672999,0.5785001475129063,6.782230728489997e-06
121,0.49390002876375794,0.6272796724663406,0.5551070189866864,0.5892510670412499,0.582023210661399,0.5747715451772655,6.782230728489997e-06
122,0.4938080685303629,0.6275479988973649,0.5548375708157899,0.5890339433059824,0.5842469729509768,0.5771468162893618,6.782230728489997e-06
123,0.49385692348403215,0.6274794867781343,0.5548700543700672,0.5906967861765208,0.5844690195154139,0.577313411590807,4.747561509942998e-06
