System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.36451029777526855,-0.9971554166571082,-0.6326451188818396,0.6326451188818396
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.1369130611419678,-2.309887373692348,0.8270256874496198,0.8270256874496198
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.8988723754882812,-0.9467811523196303,0.9520912231686509,0.9520912231686509
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.1420687437057495,-1.4016110483427529,-0.25954230463700334,0.25954230463700334
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-2.2366387844085693,-1.8962803225821077,0.3403584618264617,0.3403584618264617
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.7372099161148071,-0.5195682446659262,0.2176416714488809,0.2176416714488809
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7290334701538086,-0.4618844464440244,0.2671490237097842,0.2671490237097842
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.8194541931152344,-3.089313951005721,-0.26985975789048666,0.26985975789048666
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2370519638061523,-3.4600385220038845,-0.22298655819773217,0.22298655819773217
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.41814878582954407,-0.4540923696392838,-0.03594358380973972,0.03594358380973972
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.0700387954711914,-2.517224176390357,0.5528146190808343,0.5528146190808343
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-2.368375062942505,-2.309887373692348,0.058487689250156905,0.058487689250156905
CH3NO2,None,None,carbamate-esters,Carbamic-acid,0.0,-0.0008957442072556887,-0.0008957442072556887,0.0008957442072556887
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763676881790161,-0.914687781901435,0.46167990627758115,0.46167990627758115
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.8827897310256958,-1.475360852519735,-0.5925711214940392,0.5925711214940392
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.9616990089416504,-3.0643955598247885,-0.10269655088313812,0.10269655088313812
C2H6O,None,None,alcohols_aldehydes_ketones_ethers,Ethanol,0.0,0.0030533610256213706,0.0030533610256213706,0.0030533610256213706
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-0.15899904072284698,-1.2299160498447748,-1.0709170091219278,1.0709170091219278
CH3NO,None,None,amides,Formamide,0.0,0.0009164466200672905,0.0009164466200672905,0.0009164466200672905
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.5323402881622314,-0.4651505886274876,0.06718969953474385,0.06718969953474385
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344161987305,-2.6385003915007417,-0.0639659753020112,0.0639659753020112
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-0.25802111625671387,-1.894978266971588,-1.6369571507148741,1.6369571507148741
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.8748815059661865,-1.874710543552002,0.00017096241418457225,0.00017096241418457225
CH3Ir40NO80,IrO2,110,imines,Methanimine,-0.5223361849784851,-2.018593443303736,-1.496257258325251,1.496257258325251
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.1250195503234863,-1.8242335523887832,0.3007859979347032,0.3007859979347032
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.2121331691741943,-1.788437903487818,0.4236952656863764,0.4236952656863764
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881102800369263,-2.032765509731057,-0.14465522969413058,0.14465522969413058
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.3876349925994873,-1.7436701237050016,0.6439648688944857,0.6439648688944857
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-1.7540119886398315,-1.2109958985826381,0.5430160900571934,0.5430160900571934
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,-0.46820539236068726,-0.8007698399044187,-0.3325644475437315,0.3325644475437315
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.9498369914824849,-0.8273680431182271,0.8273680431182271
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-1.9095062017440796,-2.012670460683033,-0.10316425893895342,0.10316425893895342
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.48616594076156616,-0.5549930089053277,-0.0688270681437615,0.0688270681437615
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.5246691703796387,-0.4713849130230088,0.053284257356629894,0.053284257356629894
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.222173810005188,-1.0709589475471049,0.15121486245808313,0.15121486245808313
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.959524154663086,-0.9041178759689643,1.0554062786941216,1.0554062786941216
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-1.6977403163909912,-1.7121218622765202,-0.014381545885528979,0.014381545885528979
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-1.1777319886723276,0.10153627609818017,0.10153627609818017
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.3849923014640808,-0.6028510645102401,-0.21785876304615925,0.21785876304615925
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-2.0562589168548584,-2.4359660602330706,-0.3797071433782122,0.3797071433782122
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.866476058959961,-2.7177280338355843,0.14874802512437668,0.14874802512437668
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.6010286808013916,-0.41456681926685235,0.18646186153453925,0.18646186153453925
CH5Ir40NO80,IrO2,110,amines,Methanamine,-2.7799482345581055,-1.3964968668310807,1.3834513677270248,1.3834513677270248
CH5Ir40NO80,IrO2,110,amines,Methanamine,-0.4044719338417053,-1.1956343555698403,-0.791162421728135,0.791162421728135
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-3.367225408554077,-3.0183426358389767,0.3488827727151005,0.3488827727151005
C2H7N,None,None,amines,Ethanamine,0.0,-0.002375845326028525,-0.002375845326028525,0.002375845326028525
C2H2Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Acetylene,-2.021026849746704,-2.397986415076929,-0.3769595653302247,0.3769595653302247
C3H7N,None,None,imines,Propan-2-imine,0.0,-0.010328810693820856,-0.010328810693820856,0.010328810693820856
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-1.3645670858903873,1.4665455373243343,1.4665455373243343
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4741363823413849,-2.1179470724339424,-1.6438106900925575,1.6438106900925575
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.2445947229862213,-0.6649566893782435,-0.42036196639202217,0.42036196639202217
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.9988579750061035,-2.4578233331910866,0.5410346418150169,0.5410346418150169
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-1.498257040977478,-1.769455354963437,-0.27119831398595906,0.27119831398595906
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.0748886689543724,-1.1242647475983034,-1.049376078643931,1.049376078643931
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.8518341779708862,-2.2656861720999046,-0.4138519941290184,0.4138519941290184
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-1.6273972988128662,-0.707387809855021,0.9200094889578452,0.9200094889578452
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1335694789886475,-1.1251101952056715,1.008459283782976,1.008459283782976
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.079479694366455,-1.2648260136515042,0.8146536807149509,0.8146536807149509
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.46923956274986267,-0.3195884260084796,0.14965113674138308,0.14965113674138308
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.4043467044830322,-1.48657659160098,-0.08222988711794788,0.08222988711794788
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.904345691204071,-0.9242122497883756,-0.019866558584304528,0.019866558584304528
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-0.33845579624176025,-1.3645670858903873,-1.026111289648627,1.026111289648627
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.3388409614562988,-2.0870667195260353,-0.7482257580697365,0.7482257580697365
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-3.0013198852539062,-2.690612080442804,0.31070780481110205,0.31070780481110205
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.966956377029419,-1.8674224328299225,1.0995339441994965,1.0995339441994965
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-1.9378560781478882,-2.226375835501628,-0.2885197573537397,0.2885197573537397
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.3526405096054077,-0.41456681926685235,-0.061926309661444634,0.061926309661444634
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.8227038383483887,-1.8917421110769652,-0.06903827272857654,0.06903827272857654
CH4N2,None,None,amidines,Formimidamide,0.0,-0.0004772252362954532,-0.0004772252362954532,0.0004772252362954532
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-3.3252744674682617,-1.9937547904835071,1.3315196769847546,1.3315196769847546
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.312835156917572,-0.6007859084908773,-0.2879507515733053,0.2879507515733053
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-0.42302876710891724,-1.8182176337572216,-1.3951888666483043,1.3951888666483043
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.3995556831359863,-1.4468990227140894,-0.047343339578103105,0.047343339578103105
