System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.36451029777526855,-1.0169674835320421,-0.6524571857567736,0.6524571857567736
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.1369130611419678,-2.423349474991454,0.7135635861505136,0.7135635861505136
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.8988723754882812,-0.8506391560085262,1.048233219479755,1.048233219479755
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.1420687437057495,-1.7042775780231434,-0.5622088343173939,0.5622088343173939
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-2.2366387844085693,-1.996218269999872,0.24042051440869727,0.24042051440869727
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.7372099161148071,-0.5845756338042776,0.15263428231052956,0.15263428231052956
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7290334701538086,-0.458486204990173,0.2705472651636356,0.2705472651636356
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.8194541931152344,-2.861396794040502,-0.04194260092526747,0.04194260092526747
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2370519638061523,-2.8239810261602827,0.41307093764586966,0.41307093764586966
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.41814878582954407,-1.0735756732663155,-0.6554268874367715,0.6554268874367715
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.0700387954711914,-2.6289414869545595,0.44109730851663187,0.44109730851663187
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-2.368375062942505,-2.423349474991454,-0.05497441204894926,0.05497441204894926
CH3NO2,None,None,carbamate-esters,Carbamic-acid,0.0,0.0010377422326541819,0.0010377422326541819,0.0010377422326541819
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763676881790161,-1.115233503520642,0.2611341846583741,0.2611341846583741
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.8827897310256958,-1.5052827759599796,-0.6224930449342838,0.6224930449342838
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.9616990089416504,-2.7847767618386,0.17692224710305027,0.17692224710305027
C2H6O,None,None,alcohols_aldehydes_ketones_ethers,Ethanol,0.0,0.0027245860757147966,0.0027245860757147966,0.0027245860757147966
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-0.15899904072284698,-1.35989170322721,-1.200892662504363,1.200892662504363
CH3NO,None,None,amides,Formamide,0.0,0.0033514437658652696,0.0033514437658652696,0.0033514437658652696
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.5323402881622314,-0.5048993941330053,0.027440894029226115,0.027440894029226115
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344161987305,-2.2861387240060793,0.28839569219265115,0.28839569219265115
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-0.25802111625671387,-2.089526393208402,-1.8315052769516882,1.8315052769516882
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.8748815059661865,-1.64566176481652,0.2292197411496666,0.2292197411496666
CH3Ir40NO80,IrO2,110,imines,Methanimine,-0.5223361849784851,-2.3861926265919493,-1.8638564416134642,1.8638564416134642
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.1250195503234863,-1.8184142480523207,0.30660530227116567,0.30660530227116567
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.2121331691741943,-1.8586111905111231,0.3535219786630712,0.3535219786630712
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881102800369263,-1.932443357232735,-0.04433307719580881,0.04433307719580881
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.3876349925994873,-2.2007793920248275,0.18685560057465977,0.18685560057465977
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-1.7540119886398315,-0.903961038777588,0.8500509498622435,0.8500509498622435
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,-0.46820539236068726,-1.2766625103462292,-0.808457117985542,0.808457117985542
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-1.1328789459310684,-1.0104099975668106,1.0104099975668106
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-1.9095062017440796,-1.798986938717718,0.11051926302636161,0.11051926302636161
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.48616594076156616,-0.8385647793428106,-0.35239883858124443,0.35239883858124443
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.5246691703796387,-0.4663119204567039,0.058357249922934784,0.058357249922934784
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.222173810005188,-1.8708137685365998,-0.6486399585314118,0.6486399585314118
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.959524154663086,-1.049019327390564,0.910504827272522,0.910504827272522
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-1.6977403163909912,-1.582221596634069,0.1155187197569223,0.1155187197569223
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-1.4276134998785497,-0.14834523510804187,0.14834523510804187
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.3849923014640808,-0.8002919008155516,-0.41529959935147076,0.41529959935147076
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-2.0562589168548584,-1.883657291976462,0.17260162487839636,0.17260162487839636
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.866476058959961,-2.5883466199974805,0.27812943896248044,0.27812943896248044
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.6010286808013916,-0.5154469561368415,0.08558172466455005,0.08558172466455005
CH5Ir40NO80,IrO2,110,amines,Methanamine,-2.7799482345581055,-1.7397809296653861,1.0401673048927194,1.0401673048927194
CH5Ir40NO80,IrO2,110,amines,Methanamine,-0.4044719338417053,-2.3442055610045713,-1.939733627162866,1.939733627162866
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-3.367225408554077,-2.8471665351836606,0.5200588733704166,0.5200588733704166
C2H7N,None,None,amines,Ethanamine,0.0,-0.003557127091525558,-0.003557127091525558,0.003557127091525558
C2H2Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Acetylene,-2.021026849746704,-2.391427612640854,-0.3704007628941497,0.3704007628941497
C3H7N,None,None,imines,Propan-2-imine,0.0,0.00468667765503028,0.00468667765503028,0.00468667765503028
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-1.532821940395272,1.2982906828194496,1.2982906828194496
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4741363823413849,-2.3904622812625433,-1.9163258989211585,1.9163258989211585
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.2445947229862213,-1.1034537106832687,-0.8588589876970474,0.8588589876970474
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.9988579750061035,-3.2194884515415083,-0.2206304765354048,0.2206304765354048
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-1.498257040977478,-1.5880172679690912,-0.08976022699161312,0.08976022699161312
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.0748886689543724,-1.1786170292301605,-1.1037283602757881,1.1037283602757881
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.8518341779708862,-2.146314961058863,-0.29448078308797676,0.29448078308797676
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-1.6273972988128662,-0.8323683291340132,0.7950289696788531,0.7950289696788531
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1335694789886475,-0.8847735583692895,1.248795920619358,1.248795920619358
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.079479694366455,-0.8877376278252527,1.1917420665412024,1.1917420665412024
