Epoch,Train_MAE_eV,Val_MAE_eV,Test_MAE_eV,Train_std_eV,Val_std_eV,Test_std_eV,Learning_Rate
1,0.8996590828695542,0.7813369250688397,0.8364099010092313,1.10238879504156,0.8679672604752626,0.8729967576521167,0.001
2,0.8190629580934814,0.7572876508118677,0.8522722760184867,0.9320157528654451,0.9306284676721641,0.9345719476771063,0.001
3,0.7962254775953371,0.8146034420513716,0.9018302667336385,0.9173486657089854,0.9576116817865119,0.9630619419876885,0.001
4,0.7917624459030369,0.7516596278206247,0.8472950380356585,0.926886674730482,0.9686225733874159,0.9773675225459477,0.001
5,0.7880927031751135,0.7236013803325716,0.7889331911430985,0.9164592665219464,0.9270020613379824,0.9367786390603,0.001
6,0.7493797667898247,0.734459611236072,0.7721291643674256,0.8997591569156218,1.0737553342736932,1.0855863941705246,0.001
7,0.7234773021920823,0.7693571301757313,0.7411955966324103,0.8837107955428992,0.7549968966774464,0.7623946248779115,0.001
8,0.7382553086462251,0.7037566685285724,0.7215385984201901,0.8962069378451196,0.8277386813924116,0.8410906258136949,0.001
9,0.7282467226409726,0.7070472592213115,0.7362591125926033,0.856133264860191,0.7551701657734646,0.7676003376029116,0.001
10,0.7242279541425768,0.7413392770485799,0.8164388547178174,0.839904729818295,0.8874748747185702,0.9034489441722099,0.001
11,0.757722847249563,0.7042103517250936,0.7402626021963651,0.8894385857731671,0.7744804321275471,0.7934036989005401,0.001
12,0.7083866524792581,0.6848744486199051,0.705535927756888,0.8640973505354669,0.8439596208671427,0.871394990601637,0.001
13,0.7500058630448284,0.6891635754069344,0.7570152908075051,0.894071688533869,0.9565057720375307,0.9752461172661419,0.001
14,0.6993594154959861,0.6588624266327404,0.7272222823783999,0.8662626144797296,0.8733462744979434,0.8977019053981247,0.001
15,0.6954471140799855,0.6976886929058638,0.7110141222594214,0.7977028435853931,0.8645931783187746,0.8842041276973557,0.001
16,0.6724582545722751,0.6663597529051734,0.6698236778134206,0.8515347574190058,0.6799873179245097,0.6982051549506157,0.001
17,0.6297681116365497,0.6674241511548151,0.6670806955118649,0.7596139925283657,0.7894991346048462,0.8115265249211538,0.001
18,0.6636285063605021,0.6403775840509133,0.6353027937842197,0.7916661937917989,0.712524163602178,0.7383647942990545,0.001
19,0.6291051169722859,0.7043639480090532,0.6975554091031434,0.7527587898889174,0.7339898401917686,0.744861644761501,0.001
20,0.680281285560621,0.6662346847721787,0.6322932243347168,0.837549070860456,0.715351336746328,0.7274515421643523,0.001
21,0.6428660815449312,0.658596113079884,0.6767530284944128,0.7799588285314177,0.7343916163107824,0.7460169760121527,0.001
22,0.6272908405841586,0.6267630858499496,0.623898693772613,0.7804742483429438,0.7070698339158907,0.7231693046940985,0.001
