formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-4.367753,-3.3907743,-0.9769788,0.43118018,-4.2358875,-2.545661,False,-2.2658248
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.92697227,-1.6906781,0.76370585,0.8731118,-3.4019773,0.020621061,True,0.8746942
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.4805303,-1.6717342,-0.80879605,0.43603024,-2.5263534,-0.81711495,True,-1.8549081
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.9085112,-2.7587295,-0.1497817,0.6000666,-3.93486,-1.5825989,True,-0.24960847
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.7382373,-1.1979611,-0.54027617,0.5825994,-2.339856,-0.056066275,True,-0.9273545
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.27693567,-1.5478132,1.2708775,0.98088515,-3.4703481,0.37472177,True,1.2956436
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.2170694,-1.3231016,0.10603225,0.4499306,-2.2049656,-0.44123763,True,0.23566356
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.6903308,-0.571633,-0.11869782,0.31826764,-1.1954376,0.052171588,True,-0.3729497
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.5168205,-1.3384168,-0.17840374,0.9005974,-3.1035876,0.42675412,True,-0.19809489
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3709321,-0.764171,-0.6067611,0.41777128,-1.5830028,0.054660738,True,-1.4523762
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38210133,-1.906501,1.5243998,0.19598763,-2.2906368,-1.5223653,False,7.778041
