formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-4.367753,-3.1528776,-1.2148755,0.5757786,-4.2814035,-2.0243516,False,-2.1099699
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.92697227,-1.6039395,0.67696726,0.8963811,-3.3608465,0.15296745,True,0.7552226
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.4805303,-1.7071879,-0.7733424,0.4473264,-2.5839477,-0.8304281,True,-1.7288101
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.9085112,-2.6354234,-0.27308774,0.6676717,-3.9440598,-1.3267869,True,-0.409015
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.7382373,-1.2303708,-0.5078665,0.52715904,-2.2636025,-0.19713902,True,-0.9634028
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.27693567,-1.3481883,1.0712526,1.0015973,-3.3113189,0.61494243,True,1.0695442
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.2170694,-1.2206393,0.0035699606,0.44585305,-2.0945113,-0.34676737,True,0.008007034
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.6903308,-0.6667456,-0.0235852,0.363104,-1.3784294,0.044938207,True,-0.0649544
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.5168205,-1.4781945,-0.038626075,0.8185123,-3.0824785,0.12608969,True,-0.047190584
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3709321,-0.78239346,-0.58853865,0.42108196,-1.6077142,0.042927206,True,-1.397682
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38210133,-1.6023647,1.2202634,0.42735714,-2.4399848,-0.76474464,False,2.8553715
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.62520176,-0.93910044,0.31389868,0.428336,-1.7786391,-0.09956187,True,0.73283285
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-1.5487318,-1.9902961,0.44156432,0.26321423,-2.506196,-1.4743962,True,1.6775852
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.56342936,-1.1988764,0.635447,0.76345325,-2.6952448,0.29749203,True,0.8323326
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.0807958,-1.536146,-0.5446497,0.61366326,-2.738926,-0.33336604,True,-0.88753843
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.20609812,-0.654956,0.44885784,0.41737252,-1.4730061,0.16309416,True,1.075437
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.21161768,-2.1594732,1.9478555,0.96556956,-4.0519896,-0.2669568,False,2.0173125
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.9778366,-0.98607814,0.008241534,0.83751845,-2.6276145,0.6554581,True,0.009840421
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.188802,-1.3789281,-0.80987394,0.6058281,-2.5663512,-0.19150496,True,-1.3368049
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-0.9866753,-0.20115429,0.4398887,-1.8488572,-0.12449348,True,-0.45728454
C2H6,None,None,alkanes_alkenes_alkynes,Ethane,0.0,-0.011331439,0.011331439,0.034940504,-0.07981483,0.05715195,True,0.3243067
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-0.4174712,-1.6793072,1.261836,0.5762315,-2.808721,-0.5498935,False,2.1898077
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-1.2761489,-1.5141944,0.23804545,0.78379583,-3.050434,0.022045493,True,0.3037085
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-1.184699,1.0704267,0.75815254,-2.6706781,0.3012799,True,1.4118882
CH5NO80Ru40,RuO2,110,amines,Methanamine,-0.31025186,-1.3294022,1.0191504,0.55420077,-2.4156356,-0.24316871,True,1.8389552
