System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.36451029777526855,-0.9739889674959308,-0.6094786697206622,0.6094786697206622
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.1369130611419678,-2.911307728780912,0.22560533236105584,0.22560533236105584
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.8988723754882812,-1.0843166268832363,0.814555748605045,0.814555748605045
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.1420687437057495,-1.4736603851721104,-0.3315916414663609,0.3315916414663609
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-2.2366387844085693,-2.206686414696506,0.029952369712063387,0.029952369712063387
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.7372099161148071,-0.8575455170268214,-0.12033560091201423,0.12033560091201423
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7290334701538086,-0.5697742543100333,0.15925921584377534,0.15925921584377534
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.8194541931152344,-3.0652598524488894,-0.24580565933365506,0.24580565933365506
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2370519638061523,-3.2815085679133915,-0.04445660410723917,0.04445660410723917
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.41814878582954407,-0.3993258045613999,0.01882298126814419,0.01882298126814419
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.0700387954711914,-3.113722974275092,-0.04368417880390041,0.04368417880390041
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-2.368375062942505,-2.911307728780912,-0.542932665838407,0.542932665838407
CH3NO2,None,None,carbamate-esters,Carbamic-acid,0.0,-0.003576033492677766,-0.003576033492677766,0.003576033492677766
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763676881790161,-1.0975371734265948,0.27883051475242127,0.27883051475242127
