formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-4.367753,-2.6033711,-1.7643819,1.1136186,-4.7860637,-0.42067862,True,-1.5843682
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.92697227,-1.4933895,0.5664172,0.91384554,-3.2845268,0.29774785,True,0.61981726
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.4805303,-1.2701552,-1.2103751,0.6666008,-2.5766928,0.036382437,True,-1.8157419
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.9085112,-1.9243382,-0.98417294,1.0123167,-3.908479,0.059802532,True,-0.97219867
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.7382373,-1.068515,-0.6697223,0.6430417,-2.3288765,0.19184673,True,-1.0414913
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.27693567,-1.4038105,1.1268748,0.90167964,-3.1711025,0.36348164,True,1.2497507
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.2170694,-1.0324695,-0.18459988,0.63932544,-2.2855473,0.22060835,True,-0.28874165
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.6903308,-1.0103176,0.31998676,0.631942,-2.2489238,0.22828877,True,0.50635463
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.5168205,-1.9946232,0.47780263,0.94894767,-3.8545606,-0.13468575,True,0.5035079
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3709321,-0.9389018,-0.43203032,0.6245636,-2.1630464,0.2852428,True,-0.6917315
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38210133,-1.1372933,0.75519204,0.6929493,-2.4954739,0.2208873,True,1.0898229
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.62520176,-0.8442072,0.21900547,0.6153547,-2.0503025,0.361888,True,0.35590118
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-1.5487318,-1.6338007,0.08506894,0.78181946,-3.1661668,-0.10143459,True,0.108808935
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.56342936,-1.1916456,0.62821627,0.66963303,-2.5041265,0.120835185,True,0.93815005
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.0807958,-1.2271355,-0.8536602,0.67348623,-2.5471687,0.092897534,True,-1.2675244
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.20609812,-1.109584,0.90348583,0.6457857,-2.3753238,0.15615594,True,1.399049
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.21161768,-1.6695187,1.457901,0.9513237,-3.5341132,0.19507575,True,1.5324973
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.9778366,-1.6603385,0.6825019,0.9316315,-3.4863362,0.16565931,True,0.7325878
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.188802,-1.1187743,-1.0700277,0.6782934,-2.4482293,0.21068084,True,-1.5775293
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-0.83205175,-0.35577786,0.6131851,-2.0338945,0.36979103,True,-0.58021283
C2H6,None,None,alkanes_alkenes_alkynes,Ethane,0.0,-0.012147427,0.012147427,0.58049256,-1.1499128,1.125618,True,0.020926068
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-0.4174712,-1.6392543,1.2217832,0.79523265,-3.1979103,-0.080598354,True,1.5363846
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-1.2761489,-1.7462924,0.47014344,0.934879,-3.5786552,0.08607054,True,0.50289226
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-1.9290833,1.814811,0.94668514,-3.7845862,-0.0735805,True,1.9170165
CH5NO80Ru40,RuO2,110,amines,Methanamine,-0.31025186,-1.4384254,1.1281736,0.731896,-2.8729415,-0.00390923,True,1.5414398
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.28224644,-1.2538973,0.97165084,0.7097609,-2.6450286,0.13723409,True,1.3689833
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.1990073,-1.9925809,-1.2064264,0.9762345,-3.9060006,-0.07916129,True,-1.2357957
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.1939761,-0.7708377,0.5768616,0.6003336,-1.9474916,0.40581614,True,0.9609018
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-1.7450719,-0.7864166,-0.9586553,0.60243386,-1.9671869,0.3943538,True,-1.5913038
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.9989017,-1.6753137,-0.323588,0.9317676,-3.5015783,0.15095079,True,-0.34728405
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.3930626,0.56434727,1.0454532,-4.442151,-0.34397435,True,0.53981113
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.8185169,-1.8465304,0.028013587,0.9404985,-3.6899076,-0.0031534433,True,0.029785894
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.681627,-1.9826102,-0.6990168,1.0363406,-4.013838,0.048617363,True,-0.6745049
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-1.3276253,-0.8704497,-0.45717555,0.61585885,-2.077533,0.33663362,True,-0.7423382
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.82214534,-1.8220577,0.9999124,0.93710107,-3.6587758,0.014660358,True,1.0670272
CH3Ir40NO80,IrO2,110,imines,Methanimine,-2.7626388,-2.3051805,-0.45745826,1.0263124,-4.316753,-0.2936082,True,-0.44573006
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-1.8732101,-0.91768754,0.98519135,-3.8041852,0.057765007,True,-0.93148154
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-1.241616,0.85301995,0.70234644,-2.618215,0.13498306,True,1.2145288
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7329444,-1.9591279,1.2261834,0.94402456,-3.809416,-0.10883975,True,1.2988893
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.8751256,-1.6646068,-1.2105188,0.9437384,-3.5143342,0.18512046,True,-1.2826847
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.6417942,-0.7105476,0.06875342,0.59101176,-1.8689308,0.4478355,True,0.116331734
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.7461878,-1.8691058,0.12291801,0.9513072,-3.7336679,-0.004543662,True,0.1292096
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.2359695,-1.9441514,1.7081819,0.94374067,-3.793883,-0.09441972,True,1.810012
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-3.0061305,-2.426561,-0.57956934,1.112754,-4.607559,-0.24556327,True,-0.5208423
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.0674099,-2.0868099,1.0194,0.9830399,-4.013568,-0.16005158,True,1.0369874
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,-0.5592134,-1.1370416,0.57782817,0.653293,-2.4174957,0.14341271,True,0.8844855
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.5394167,-0.6972835,0.15786684,0.5863108,-1.8464527,0.4518857,True,0.26925454
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.16172493,-1.7811625,1.6194376,0.93521494,-3.614184,0.051858783,True,1.7316208
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.21411243,-1.1058235,0.8917111,0.64930636,-2.378464,0.16681695,True,1.3733288
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.18968032,-1.0607123,0.871032,0.6389675,-2.3130887,0.19166398,True,1.3631867
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-2.0319412,-1.1506013,-0.8813399,0.6773228,-2.478154,0.17695141,True,-1.301211
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.744181,-0.7684453,0.024264336,0.59996736,-1.9443815,0.4074908,True,0.04044276
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-2.0839267,1.8185369,0.99576306,-4.0356226,-0.132231,True,1.8262746
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.17663084,-1.169624,0.9929931,0.6584082,-2.460104,0.120856166,True,1.5081724
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.2417115,-1.0242666,-0.2174449,0.6384047,-2.2755399,0.22700667,True,-0.34060666
C2H4S,None,None,thiols_thials_thioketones_thioethers,Ethanethial,0.0,-0.26482403,0.26482403,0.6189951,-1.4780544,0.94840634,True,0.427829
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-3.4684393,-1.7851992,-1.6832402,0.96144456,-3.6696305,0.0992322,True,-1.7507408
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.671883,-1.1056477,-0.5662353,0.64929867,-2.378273,0.16697776,True,-0.87207216
