Epoch,Train_MAE_eV,Val_MAE_eV,Test_MAE_eV,Train_std_eV,Val_std_eV,Test_std_eV,Learning_Rate
1,0.94423992395058,0.9326449691272173,1.0169200662706719,0.7190381211978789,0.7343708542888231,0.7346858348515146,1e-06
2,0.9338487667637128,0.9176181926101935,0.9964192343539879,0.7487213293316862,0.7613325898942187,0.7621952080318646,1e-06
3,0.9246893225003093,0.905351701329966,0.9794909485050889,0.7758083884409653,0.7864807198117411,0.7878747217351454,1e-06
4,0.9168074228475285,0.8945640032408667,0.9646976306790211,0.7993335008941659,0.8077551386515452,0.8096033168494241,1e-06
5,0.9109206603885673,0.8853070696846383,0.9498687103146413,0.8197038084123323,0.8263704649503317,0.8286342659821411,1e-06
6,0.9059549033839179,0.8772763424232358,0.9376335769403176,0.8393288674860745,0.8448401713056473,0.8475023230046116,1e-06
7,0.8999318000918234,0.8721449648747679,0.9295420803007532,0.8554240527596849,0.8590741434167066,0.8620724724227671,1e-06
8,0.8957461364139997,0.8657659819868745,0.9198106781381076,0.8695766539528339,0.8721838669319361,0.8754880956318357,1e-06
9,0.89141005575128,0.86061848968756,0.9126569677571781,0.8836011757164755,0.8850483586856587,0.8886465000104959,1e-06
10,0.8880925133410663,0.8557297049975786,0.9058423980337674,0.8953612067960338,0.8950750789230291,0.8988831831384139,1e-06
11,0.8844418276241545,0.8511549918377985,0.9004691077060387,0.9040481151412068,0.9028331034758754,0.9068340875998,1e-06
12,0.8812549092456614,0.8468895505686276,0.8956949046400727,0.9119494558769125,0.910133421646985,0.9143275432927501,1e-06
13,0.8793863738946435,0.8426468176919906,0.8909954633869108,0.9197624325669804,0.916811587595891,0.9212043693486321,1e-06
14,0.8779279709940832,0.8387396843706976,0.8865170166140697,0.925154649271326,0.9208566718967421,0.9253831066500917,1e-06
15,0.8753212313123343,0.8355682091634782,0.8833235599955575,0.9287062699275984,0.9234243358672315,0.9280614638357579,1e-06
16,0.873088482410854,0.8326130812285376,0.880183970341917,0.9319062940473344,0.926946070697142,0.9317310848011447,1e-06
17,0.8712837291612889,0.829443763514034,0.8776468214441518,0.9365373976214835,0.9302077046478416,0.93510655967954,1e-06
18,0.869419855000932,0.82657989126737,0.8752568823392274,0.9389230014420655,0.9316981988532176,0.9366974264672306,1e-06
19,0.8676301751483682,0.8235430756553275,0.8725996408306185,0.9389119160197166,0.9310963658801128,0.936143968441762,1e-06
