System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.36451029777526855,-1.2008867441016235,-0.836376446326355,0.836376446326355
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.1369130611419678,-2.5216927165795653,0.6152203445624025,0.6152203445624025
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.8988723754882812,-1.087411383767943,0.8114609917203381,0.8114609917203381
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.1420687437057495,-1.3414483477691306,-0.19937960406338107,0.19937960406338107
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-2.2366387844085693,-1.950443601586862,0.2861951828217073,0.2861951828217073
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.7372099161148071,-0.5692289151287468,0.16798100098606028,0.16798100098606028
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7290334701538086,-0.4326537384210667,0.2963797317327419,0.2963797317327419
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.8194541931152344,-3.056504592720515,-0.2370503996052804,0.2370503996052804
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2370519638061523,-3.5423906312823874,-0.30533866747623506,0.30533866747623506
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.41814878582954407,-1.204824800139022,-0.786676014309478,0.786676014309478
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.0700387954711914,-2.8569589460609564,0.21307984941023506,0.21307984941023506
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-2.368375062942505,-2.5216927165795653,-0.1533176536370604,0.1533176536370604
CH3NO2,None,None,carbamate-esters,Carbamic-acid,0.0,-0.0001283161968501645,-0.0001283161968501645,0.0001283161968501645
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763676881790161,-0.8948846771517225,0.48148301102729363,0.48148301102729363
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.8827897310256958,-1.526102905442127,-0.6433131744164311,0.6433131744164311
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.9616990089416504,-2.9240354198215073,0.037663589120143115,0.037663589120143115
C2H6O,None,None,alcohols_aldehydes_ketones_ethers,Ethanol,0.0,0.047851710249261714,0.047851710249261714,0.047851710249261714
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-0.15899904072284698,-1.120751594511475,-0.961752553788628,0.961752553788628
CH3NO,None,None,amides,Formamide,0.0,-0.01835408690757845,-0.01835408690757845,0.01835408690757845
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.5323402881622314,-0.5271587350376024,0.00518155312462909,0.00518155312462909
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344161987305,-2.602924437436542,-0.028390021237811425,0.028390021237811425
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-0.25802111625671387,-1.9568846073222517,-1.6988634910655378,1.6988634910655378
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.8748815059661865,-1.4982370569637111,0.3766444490024754,0.3766444490024754
CH3Ir40NO80,IrO2,110,imines,Methanimine,-0.5223361849784851,-1.71943497180337,-1.1970987868248848,1.1970987868248848
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.1250195503234863,-1.6892214685348037,0.4357980817886826,0.4357980817886826
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.2121331691741943,-1.5424354540554965,0.6696977151186978,0.6696977151186978
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881102800369263,-2.087416303794093,-0.19930602375716688,0.19930602375716688
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.3876349925994873,-1.8610174597486768,0.5266175328508105,0.5266175328508105
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-1.7540119886398315,-1.1153528348318105,0.6386591538080211,0.6386591538080211
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,-0.46820539236068726,-1.2138788792206725,-0.7456734868599852,0.7456734868599852
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.9322176374502718,-0.8097486890860139,0.8097486890860139
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-1.9095062017440796,-2.0128813161634156,-0.103375114419336,0.103375114419336
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.48616594076156616,-0.5035841715645404,-0.01741823080297422,0.01741823080297422
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.5246691703796387,-0.43508480696402785,0.08958436341561082,0.08958436341561082
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.222173810005188,-1.7087633518880772,-0.48658954188288916,0.48658954188288916
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.959524154663086,-1.0270469279541032,0.9324772267089827,0.9324772267089827
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-1.6977403163909912,-1.6202940396861258,0.07744627670486537,0.07744627670486537
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-1.3785793533280994,-0.09931108855759163,0.09931108855759163
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.3849923014640808,-0.44637499767286215,-0.06138269620878134,0.06138269620878134
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-2.0562589168548584,-2.371108019386938,-0.31484910253207943,0.31484910253207943
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.866476058959961,-2.68477380832077,0.18170225063919077,0.18170225063919077
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.6010286808013916,-0.40484217678849177,0.19618650401289983,0.19618650401289983
CH5Ir40NO80,IrO2,110,amines,Methanamine,-2.7799482345581055,-1.5240957154972383,1.2558525190608671,1.2558525190608671
CH5Ir40NO80,IrO2,110,amines,Methanamine,-0.4044719338417053,-1.8044393176876632,-1.3999673838459579,1.3999673838459579
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-3.367225408554077,-3.0366943673781606,0.3305310411759166,0.3305310411759166
C2H7N,None,None,amines,Ethanamine,0.0,0.0326035749511675,0.0326035749511675,0.0326035749511675
C2H2Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Acetylene,-2.021026849746704,-1.9106467934654319,0.11038005628127223,0.11038005628127223
C3H7N,None,None,imines,Propan-2-imine,0.0,0.0015889743181958238,0.0015889743181958238,0.0015889743181958238
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-1.7220830803069607,1.109029542907761,1.109029542907761
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4741363823413849,-2.2236099763356663,-1.7494735939942814,1.7494735939942814
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.2445947229862213,-0.8911025375394104,-0.6465078145531891,0.6465078145531891
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.9988579750061035,-2.733871522273958,0.2649864527321455,0.2649864527321455
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-1.498257040977478,-2.01493266068843,-0.5166756197109521,0.5166756197109521
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.0748886689543724,-0.9051575438790778,-0.8302688749247054,0.8302688749247054
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.8518341779708862,-2.0002449651387764,-0.14841078716789013,0.14841078716789013
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-1.6273972988128662,-0.9059608817747886,0.7214364170380776,0.7214364170380776
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1335694789886475,-1.165940225873186,0.9676292531154616,0.9676292531154616
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.079479694366455,-0.9596331468093595,1.1198465475570956,1.1198465475570956
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.46923956274986267,-0.3328090339362575,0.13643052881360518,0.13643052881360518
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.4043467044830322,-1.2978080770004823,0.10653862748254994,0.10653862748254994
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.904345691204071,-1.0313369315597036,-0.12699124035563258,0.12699124035563258
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-0.33845579624176025,-1.7220830803069607,-1.3836272840652004,1.3836272840652004
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.3388409614562988,-1.853763417379323,-0.5149224559230241,0.5149224559230241
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-3.0013198852539062,-2.1033253651350634,0.8979945201188428,0.8979945201188428
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.966956377029419,-2.0199110598645547,0.9470453171648643,0.9470453171648643
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-1.9378560781478882,-2.413325337931205,-0.475469259783317,0.475469259783317
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.3526405096054077,-0.40484217678849177,-0.052201667183084055,0.052201667183084055
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.8227038383483887,-1.6718875520524534,0.15081628629593524,0.15081628629593524
CH4N2,None,None,amidines,Formimidamide,0.0,-0.006973906640013183,-0.006973906640013183,0.006973906640013183
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-3.3252744674682617,-1.7788964321167242,1.5463780353515375,1.5463780353515375
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.312835156917572,-0.5419790209329989,-0.22914386401542686,0.22914386401542686
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-0.42302876710891724,-2.1621076989252117,-1.7390789318162945,1.7390789318162945
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.3995556831359863,-1.484935463804212,-0.08537978066822571,0.08537978066822571
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.8044032454490662,-1.134392010483019,-0.3299887650339528,0.3299887650339528
CH3NO80Ru40,RuO2,110,imines,Methanimine,-1.9954522848129272,-2.002182380181523,-0.006730095368595812,0.006730095368595812
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-0.36213627457618713,-0.8153752803321765,-0.4532390057559894,0.4532390057559894
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-3.462773323059082,-1.9514058637442062,1.5113674593148758,1.5113674593148758
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,-2.6325106620788574,-1.1287820577086656,1.5037286043701918,1.5037286043701918
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.31471437215805054,-0.768222838627409,-0.4535084664693585,0.4535084664693585
CH3Ir40NO81,IrO2,110,amides,Formamide,-0.48171451687812805,-1.6386641558588977,-1.1569496389807696,1.1569496389807696
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8572229146957397,-2.4870612845755247,-1.629838369879785,1.629838369879785
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-1.4860243797302246,-1.1222619581489752,0.3637624215812494,0.3637624215812494
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9952746629714966,-1.9255463880305967,0.06972827494089984,0.06972827494089984
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.7939477562904358,-0.9166695164949346,-0.12272176020449876,0.12272176020449876
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.701883316040039,-1.6892214685348037,0.012661847505235357,0.012661847505235357
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.3093390464782715,-1.2802912349485425,0.029047811529729017,0.029047811529729017
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-2.162959575653076,-2.377446697295312,-0.21448712164223593,0.21448712164223593
C2H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethene,-2.0499541759490967,-1.3766553200887657,0.673298855860331,0.673298855860331
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.3046092987060547,-0.3726158477180377,-0.068006549011983,0.068006549011983
