formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-4.367753,-3.30777,-1.059983,0.44498366,-4.179938,-2.435602,False,-2.3820717
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.92697227,-1.6490378,0.72206557,0.97416717,-3.5584054,0.26032984,True,0.7412132
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.4805303,-1.7415432,-0.7389871,0.3444363,-2.4166384,-1.066448,False,-2.145497
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.9085112,-2.4380167,-0.4704945,0.57725894,-3.5694442,-1.3065891,True,-0.8150493
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.7382373,-1.1970247,-0.54121256,0.555287,-2.2853873,-0.10866213,True,-0.9746537
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.27693567,-1.4834839,1.2065482,1.0116609,-3.4663393,0.49937153,True,1.1926409
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.2170694,-1.2923956,0.075326204,0.39526668,-2.0671182,-0.5176729,True,0.1905706
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.6903308,-0.58215004,-0.10818076,0.30269915,-1.1754403,0.011140287,True,-0.35738707
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.5168205,-1.6076336,0.09081304,0.8309401,-3.2362761,0.021009088,True,0.10928951
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3709321,-0.88690215,-0.48402995,0.46494475,-1.7981939,0.024389565,True,-1.0410483
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38210133,-1.874854,1.4927527,0.29242608,-2.448009,-1.3016989,False,5.104718
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.62520176,-0.8812493,0.25604755,0.41469476,-1.694051,-0.06844759,True,0.6174362
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-1.5487318,-2.1994972,0.6507654,0.32211345,-2.8308396,-1.5681548,False,2.0202987
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.56342936,-1.1096604,0.54623103,0.74102217,-2.5620637,0.34274304,True,0.73713183
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.0807958,-1.6243737,-0.4564221,0.64936024,-2.8971198,-0.3516276,True,-0.70287967
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.20609812,-0.70807296,0.5019748,0.3909589,-1.4743524,0.0582065,True,1.2839581
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.21161768,-2.0820117,1.870394,1.0214103,-4.083976,-0.08004737,True,1.8311876
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.9778366,-0.9675601,-0.010276496,0.7265342,-2.3915672,0.45644695,True,-0.014144546
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.188802,-1.3850901,-0.8037119,0.5203298,-2.4049363,-0.3652438,True,-1.5446203
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-0.8800531,-0.3077765,0.4219746,-1.7071233,-0.052982867,True,-0.72937214
C2H6,None,None,alkanes_alkenes_alkynes,Ethane,0.0,-0.006559372,0.006559372,0.011925929,-0.029934194,0.01681545,True,0.5500093
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-0.4174712,-1.7613134,1.3438423,0.6677717,-3.070146,-0.4524809,False,2.0124278
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-1.2761489,-1.7742319,0.498083,0.72024447,-3.1859112,-0.36255276,True,0.69154716
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-1.045717,0.93144464,0.7613925,-2.5380464,0.44661224,True,1.2233436
CH5NO80Ru40,RuO2,110,amines,Methanamine,-0.31025186,-1.5982543,1.2880025,0.34905273,-2.2823977,-0.91411096,False,3.689994
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.28224644,-0.63278574,0.3505393,0.3060619,-1.2326671,-0.032904387,True,1.1453216
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.1990073,-2.4316182,-0.76738906,0.8565931,-4.1105404,-0.7526958,True,-0.89586186
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.1939761,-0.37493896,0.18096286,0.16797417,-0.7041683,-0.04570958,True,1.0773255
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-1.7450719,-1.428266,-0.31680584,0.3975699,-2.207503,-0.649029,True,-0.7968557
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.9989017,-1.8336155,-0.16528618,0.7625926,-3.3282971,-0.33893394,True,-0.21674244
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.6876936,0.8589783,0.5572138,-3.7798326,-1.5955546,True,1.5415596
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.8185169,-1.8162748,-0.0022420883,0.7745744,-3.3344407,-0.29810894,True,-0.002894607
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.681627,-2.1068702,-0.57475686,0.7845394,-3.6445675,-0.56917286,True,-0.7326042
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-1.3276253,-0.79718643,-0.53043884,0.3937877,-1.5690104,-0.025362492,True,-1.3470173
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.82214534,-0.9457712,0.123625875,0.67744714,-2.2735677,0.38202524,True,0.18248786
CH3Ir40NO80,IrO2,110,imines,Methanimine,-2.7626388,-2.6569266,-0.105712175,0.41296464,-3.4663372,-1.847516,True,-0.2559836
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-2.9308822,0.13998461,0.32312533,-3.5642078,-2.2975566,True,0.43322077
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-1.8581662,1.4695702,0.2696642,-2.386708,-1.3296244,False,5.4496303
