formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-4.367753,-3.1874948,-1.1802583,0.6359228,-4.4339037,-1.941086,True,-1.8559773
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.92697227,-1.7610792,0.8341069,0.8234923,-3.375124,-0.14703429,True,1.0128897
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.4805303,-1.8340431,-0.6464871,0.26540393,-2.354235,-1.3138514,False,-2.435861
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.9085112,-2.6308346,-0.27767658,0.42128333,-3.45655,-1.8051193,True,-0.65912074
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.7382373,-1.2659961,-0.47224116,0.36811426,-1.9875001,-0.5444921,True,-1.2828658
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.27693567,-1.330282,1.0533463,0.93659437,-3.166007,0.505443,True,1.1246558
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.2170694,-1.3046224,0.087553024,0.24955294,-1.7937462,-0.81549865,True,0.3508395
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.6903308,-0.716163,0.025832176,0.16194898,-1.0335829,-0.39874297,True,0.15950811
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.5168205,-1.4236914,-0.09312916,0.8771167,-3.1428401,0.29545736,True,-0.10617647
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3709321,-1.1665833,-0.2043488,0.39558548,-1.9419308,-0.39123577,True,-0.5165731
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38210133,-2.011042,1.6289408,0.1160821,-2.238563,-1.7835212,False,14.032661
