System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.36451029777526855,-1.0311679095610913,-0.6666576117858227,0.6666576117858227
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.1369130611419678,-2.1411554778457287,0.9957575832962391,0.9957575832962391
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.8988723754882812,-1.3118305189056976,0.5870418565825837,0.5870418565825837
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.1420687437057495,-1.6920349927023715,-0.5499662489966219,0.5499662489966219
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-2.2366387844085693,-1.9383998557463897,0.2982389286621796,0.2982389286621796
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.7372099161148071,-1.0797380244301777,-0.3425281083153706,0.3425281083153706
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7290334701538086,-0.6331445823693969,0.09588888778441174,0.09588888778441174
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.8194541931152344,-1.8081157226376874,1.011338470477547,1.011338470477547
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2370519638061523,-2.806502917676937,0.4305490461292152,0.4305490461292152
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.41814878582954407,-1.5673985024014883,-1.1492497165719442,1.1492497165719442
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.0700387954711914,-2.206447567920911,0.8635912275502804,0.8635912275502804
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-2.368375062942505,-2.1411554778457287,0.2272195850967762,0.2272195850967762
CH3NO2,None,None,carbamate-esters,Carbamic-acid,0.0,-0.050278895710306415,-0.050278895710306415,0.050278895710306415
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763676881790161,-0.7258081691750107,0.6505595190040054,0.6505595190040054
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.8827897310256958,-1.22014082660489,-0.3373510955791943,0.3373510955791943
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.9616990089416504,-1.9323508509128118,1.0293481580288386,1.0293481580288386
C2H6O,None,None,alcohols_aldehydes_ketones_ethers,Ethanol,0.0,0.005176402552407922,0.005176402552407922,0.005176402552407922
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-0.15899904072284698,-1.4074459750139336,-1.2484469342910867,1.2484469342910867
CH3NO,None,None,amides,Formamide,0.0,-0.014144097892568652,-0.014144097892568652,0.014144097892568652
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.5323402881622314,-0.6671294522846836,-0.13478916412245212,0.13478916412245212
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344161987305,-1.9147886457749905,0.6597457704237399,0.6597457704237399
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-0.25802111625671387,-1.7164046992511643,-1.4583835829944505,1.4583835829944505
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.8748815059661865,-1.9227313292525459,-0.04784982328635934,0.04784982328635934
CH3Ir40NO80,IrO2,110,imines,Methanimine,-0.5223361849784851,-2.0695596989811875,-1.5472235140027024,1.5472235140027024
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.1250195503234863,-1.2094799489629793,0.915539601360507,0.915539601360507
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.2121331691741943,-1.826075790889366,0.38605737828482845,0.38605737828482845
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881102800369263,-2.3098489470458503,-0.42173866700892404,0.42173866700892404
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.3876349925994873,-1.8658931934834797,0.5217417991160076,0.5217417991160076
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-1.7540119886398315,-1.5233965239419653,0.2306154646978662,0.2306154646978662
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,-0.46820539236068726,-1.3196368368957216,-0.8514314445350344,0.8514314445350344
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.8868226930552083,-0.7643537446909505,0.7643537446909505
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-1.9095062017440796,-1.5250769531132065,0.38442924863087313,0.38442924863087313
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.48616594076156616,-1.334722994057321,-0.8485570532957549,0.8485570532957549
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.5246691703796387,-0.5603928121201207,-0.03572364174048204,0.03572364174048204
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.222173810005188,-1.7448139609747102,-0.5226401509695222,0.5226401509695222
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.959524154663086,-1.6973987786091254,0.2621253760539606,0.2621253760539606
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-1.6977403163909912,-1.4125065986197445,0.28523371777124673,0.28523371777124673
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-1.5179113349998907,-0.23864307022938291,0.23864307022938291
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.3849923014640808,-0.6523837484587673,-0.26739144699468653,0.26739144699468653
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-2.0562589168548584,-1.5256318682639076,0.5306270485909508,0.5306270485909508
