System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.36451029777526855,-0.7292210815050808,-0.36471078372981225,0.36471078372981225
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.1369130611419678,-1.8681377454683208,1.268775315673647,1.268775315673647
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.8988723754882812,-1.1867412571278706,0.7121311183604107,0.7121311183604107
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.1420687437057495,-2.039485998727635,-0.8974172550218853,0.8974172550218853
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-2.2366387844085693,-1.5973609127028041,0.6392778717057652,0.6392778717057652
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.7372099161148071,-1.163817491268496,-0.42660757515368886,0.42660757515368886
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7290334701538086,-0.7855847464049717,-0.056551276251163074,0.056551276251163074
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.8194541931152344,-1.7820524506519178,1.0374017424633166,1.0374017424633166
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2370519638061523,-2.5487970069326735,0.6882549568734788,0.6882549568734788
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.41814878582954407,-1.7792736086812688,-1.3611248228517248,1.3611248228517248
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.0700387954711914,-2.0865569219235383,0.9834818735476532,0.9834818735476532
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-2.368375062942505,-1.8681377454683208,0.5002373174741841,0.5002373174741841
CH3NO2,None,None,carbamate-esters,Carbamic-acid,0.0,-0.8997122548095646,-0.8997122548095646,0.8997122548095646
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763676881790161,-1.0081188581018736,0.3682488300771425,0.3682488300771425
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.8827897310256958,-1.2551965477153075,-0.37240681668961173,0.37240681668961173
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.9616990089416504,-1.6821287137272272,1.2795702952144232,1.2795702952144232
C2H6O,None,None,alcohols_aldehydes_ketones_ethers,Ethanol,0.0,-0.047649187186408426,-0.047649187186408426,0.047649187186408426
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-0.15899904072284698,-1.5691020121143957,-1.4101029713915487,1.4101029713915487
CH3NO,None,None,amides,Formamide,0.0,-0.8360624434890127,-0.8360624434890127,0.8360624434890127
